ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,1468,1998,210,111,173,57,191.26021798365122,83.70367847411444,1.2082675927054969,1509,0.8175602783399885,43.23327019404407,1,0.7347347347347347,0.8276312350320066,57.02755182687551,55.71355310873648,16.15549442140351,6.67875098436234,6.082762530298219,31.86765083609585,32.838918043417515,-18.655868447599378,149.29646455628165,0.9728296885354539,0.6016756587018017,0.010405016567168855,0.18219297455797526,0.104810387440863,0.0018893269227774937,0.011683678989941304,0.0013946754922846954,0.027770355061897442,0.03103590966739053,0.0023522392320107282,0.00028494101492583984,0.0076364215226611,0.01980893413736306,0.023519144101466643,0.007577732662801321,0.010582248289493426,0.0005267739795288108,0.0037436035778517164,0.0029825623810155627,0.004121886081925522,0.010457759891284788,0.011204763130758357,0.016433487445448522,0.010632577727624994,0.003742766309569046,0.00014721548972055016,0.0006144490337100315,0.002853132837491458,0.004646575311569217,0.0019381510861095914,191.26021798365122,83.70367847411444,0,1
1,2,1887,2420,198,293,154,238,175.1558028616852,265.28192898781134,1.1117742642650748,1926,0.6656983856551033,49.016354626953365,1,0.7797520661157025,0.899463166347926,56.75773301107156,56.64803615307419,21.18962010041709,8.121247574693854,7.211102550927978,42.05829288023945,42.353807664413296,-18.95828336481279,162.36753236814712,0.9797507788161994,0.7481007980664058,0.04805318519280417,0.1579826093210551,0.07974300864052353,0.002166941948786271,0.007988376473295327,0.04972694843824101,0.008533391989438715,0.019444982026256843,0.0218080513187529,0.011377721187073014,0.002494099589128173,0.004473356905048614,0.01837673643831192,0.012816960829591273,0.006012899539504537,0.006093721541681442,0.003662339567062997,0.007038618421916345,0.0009532400463778039,0.007509043218644287,0.00954848447887067,0.0014513238077845643,0.008050645781784516,0.0019595477060426903,0.01012251773472638,0.01087190304234313,0.003387709619289113,0.0027296137667884653,0.0010553823008828884,175.1558028616852,265.28192898781134,0,2
1,3,1670,2013,403,378,370,317,386.1245508982036,347.58862275449104,1.210692315591941,1704,0.8404298852081045,46.111929472835136,1,0.8296075509190264,0.8259736905252202,62.73671293297662,60.40695324215582,17.0,7.024374418097822,6.324555320336759,32.0,33.998298090886074,-3.9005125323358714,159.39696961967,0.9800469483568075,0.5827103424795073,0.013469634997674163,0.1755334308478356,0.11115396625040852,0.0015421735682336147,0.005994910701117257,0.00899932469610915,0.03214484768984289,0.034554439237902884,0.0028497369570912186,0.004997291250659824,0.004451068373238005,0.015682406932497003,0.018719709766287868,0.006574822020935411,0.011963619018050977,0.0007775670253542094,0.0028921423765102673,0.004001097188466118,0.0027269772429757075,0.013164335144772409,0.013529636801442119,0.015942188325918847,0.01245782803982165,0.004437083289414911,0.0004218504607922168,0.0017085216430685272,0.0018107682548262826,0.003297272086819423,0.0015272637313449105,386.1245508982036,347.58862275449104,0,3
1,4,1516,2115,75,406,28,361,50.93535620052771,382.5778364116095,1.1282858651091523,1555,0.7101520714963632,43.934395976484154,1,0.7167848699763594,0.886300210721206,52.39267277796296,51.22499389946279,18.027756377319946,7.184547970066084,6.4031242374328485,35.95869277666941,36.88697319213315,47.58901010933674,146.61017305526644,0.97491961414791,0.7356063833149797,0.01669933927406854,0.1593650115213926,0.09690481518603462,0.004968645539020165,0.00827122700275602,0.039900869088290006,0.007659771879688498,0.017997003755214035,0.004722352675200629,0.0040247084973960194,0.0036650968434394126,0.01455952584426457,0.024601074975945617,0.020124760749751565,0.003011981089447195,0.0019466064106711451,0.0032581558359896885,0.006397495684770454,0.002232495387280386,0.008114127578530016,0.008802183496235782,0.0005626076174646993,0.010286066895966343,0.0003251704780916972,0.0023624743207196117,0.00238337916836996,0.0031885293517917284,0.001941943422009312,0.0005010075135017441,50.93535620052771,382.5778364116095,0,4
1,5,1713,2296,134,496,93,440,114.20899007589026,467.8505545826036,1.1393908091962097,1749,0.7311780329376127,46.70181302831116,1,0.7460801393728222,0.8776619856232262,56.682243147096464,56.089214649520635,19.235384061671343,7.524633236435892,6.708203932499369,38.155413985938566,38.667872006134665,-13.799586039144806,156.61017305526642,0.9794168096054888,0.6932801462591651,0.03307019803483964,0.1713681713325913,0.0938035181319253,0.007067670292241024,0.010245442317681142,0.032870219697498565,0.006331051438000353,0.023261282922929102,0.014095243300169638,0.010256414180179236,0.002572246825267337,0.014549298723614261,0.026653960524959504,0.014991819751566637,0.010112134890738369,0.004166600664851081,0.0076661028022657635,0.005439596328578313,0.00047091305619887823,0.001536577691978958,0.0032699032999923545,0.0061067343343713205,0.00968066410318084,0.0036366610578722047,0.006038428275335942,0.0063539721538108124,0.00524058085018813,0.0016663782937552218,0.0007819013067669246,114.20899007589026,467.8505545826036,0,5
2,1,1420,1960,104,133,69,77,86.28309859154929,104.28591549295774,1.2927538554917584,1480,0.8514681702036864,42.52058505622813,1,0.7244897959183674,0.7735424618939575,58.90905543393727,56.92099788303083,15.297058540778355,6.280384511456566,5.830951894845301,30.559488754577956,30.892279102955435,15.969214269690498,151.88225099390857,0.9594594594594594,0.5580247387419541,0.04690316710664414,0.16911516556309372,0.10439273058893365,0.030168159090790982,0.018602977580701157,0.009947227517307375,0.033566093372385405,0.03316578806668289,0.004349793071932971,0.007077101823108785,0.0048469252244873265,0.004810561655232303,0.015616173747748239,0.0012346095669230448,0.011840791145452455,0.015106708910710111,0.010700773142079121,0.007173610107098329,0.0003980264398081177,0.009700806771675263,0.00676834660510923,0.008383009338899142,0.007372545066678872,0.004916338333314524,0.00757088037721158,0.00698096919323786,0.011907957274893641,0.008235565730853186,0.0006481999157900994,86.28309859154929,104.28591549295774,0,1
2,2,1494,2072,331,230,294,174,311.7904953145917,201.82329317269077,1.242162316242118,1530,0.8492420325488422,43.61444577011535,1,0.721042471042471,0.8050477678515272,60.05888721078628,59.61543424315552,15.811388300841896,6.569868139040833,6.0,31.38223745347369,31.71131824472031,-20.950695112609033,152.71067811865476,0.9764705882352941,0.535233505862221,0.014000261253904937,0.18716574413855427,0.09795166075771708,0.007606936384328568,0.003040838827244968,0.014325322913509641,0.0412310757986417,0.03433959312547412,0.0022593656019036087,0.0036006860774732163,0.0019506088255755677,0.0134829883254129,0.016750052275944696,0.005880350987884044,0.014425734878788041,0.004252181151371342,0.003569113741598822,0.003346828968821369,0.0018354863748050788,0.016264764801001586,0.013425945654972252,0.01660259560361134,0.004047180816457813,0.006668975386715956,0.0029919025754834966,0.0023218666381536694,0.0025897222953980515,0.0022688158781118094,0.0014161998049413561,311.7904953145917,201.82329317269077,0,2
2,3,1620,2072,175,347,138,291,156.19876543209875,319.14814814814815,1.1668652062958187,1667,0.7588202130532031,45.416385396362884,1,0.7818532818532818,0.8569970161116316,56.342661812998834,55.326304774492215,18.027756377319946,7.252681230389128,6.555664084966109,36.0,36.69598404140925,-8.408226442505642,154.12489168102783,0.9718056388722256,0.6738477825779038,0.0165139855990628,0.17540246284315797,0.1008540290113746,0.004142533675947021,0.003390325182328495,0.024640719530470406,0.008906408520198493,0.02476695738681713,0.004998157254385924,0.005347416248483946,0.005346619516911442,0.02017358662755605,0.028802599065746882,0.015036767148689826,0.006722773575432891,0.0031589142066156817,0.003090989237173222,0.005198626880521713,0.002260369462772308,0.0012756437630131435,0.001381556372378932,0.008931089743387955,0.01225812971851229,0.0025168693682819914,0.002050871100785187,0.0026276304904783864,0.0031680614298089465,0.0013912075916629335,0.0007097643602273285,156.19876543209875,319.14814814814815,0,3
2,4,2740,3672,478,477,424,409,451.1485401459854,442.4299270072993,1.156849363614227,2792,0.7428172698855792,59.0650180104463,1,0.7461873638344226,0.8644167784090763,72.24721758798438,70.83078426785913,24.166091947189145,9.42843054426003,8.48528137423857,47.8518547184955,48.36909420564588,-25.41721372870262,199.58073580374355,0.9813753581661891,0.6953710090839836,0.01849031565740686,0.1705218963653558,0.09997465505511076,0.004488865491669211,0.009300063419893397,0.02933802073538203,0.00245445890538497,0.022976845100839912,0.002965480414717965,0.007822930024002916,0.006507138585681116,0.02049626446699524,0.02802391456033816,0.014884666262959248,0.0034907427689131625,0.0011198910238059596,0.0030607781099638294,0.005057092020333782,0.0029474540384122217,0.0025696514473072364,0.003917068195226473,0.006372018417154302,0.011712111047129862,0.0018425462476424005,0.0016393043387205937,0.002721232315656829,0.0045620185213240275,0.0037350350636140327,0.0006373979158205863,451.1485401459854,442.4299270072993,0,4
3,1,1810,2475,58,52,3,7,30.12707182320442,28.920994475138123,1.1541767807720684,1855,0.7371719072436288,48.0058702240741,1,0.7313131313131314,0.8664184002480675,58.44104899440492,57.8013840664737,19.313207915827967,7.723948763379905,7.0,38.75430590805484,39.48892337424022,-62.213860765747704,162.0243866176395,0.9757412398921833,0.6889920093961127,0.03929721672334522,0.17214448660991732,0.09379857234239071,0.00912214128422737,0.011657789730152815,0.030868703317923928,0.003919997941184027,0.024040658361501703,0.015480238127634112,0.00882807932590599,0.0035885659385498595,0.017514186795765538,0.023598879681322342,0.01541239028921047,0.009336535755579604,0.0038255827958432373,0.010390743561272469,0.006115236002649761,0.0009204443878902326,0.004585610650199409,0.002030093588747383,0.006635248033967508,0.008877564690136598,0.003875460294460916,0.007249326873640931,0.007097800486154529,0.0021451559020096134,0.004570452153968358,0.0014198927472601729,30.12707182320442,28.920994475138123,0,1
3,2,1121,1512,497,220,461,178,478.1587867975022,197.8965209634255,1.1415623391119796,1153,0.7182244059340671,37.77964438223469,1,0.7414021164021164,0.8759924585265305,45.506958790567786,44.41846462902562,15.652475842498529,6.124836154895228,5.385164807134504,30.857738089497097,31.664267192001702,-26.834248642378032,126.81118318204308,0.9722463139635733,0.7222213329624362,0.0586165597291731,0.15110353841128932,0.09521312206046728,0.008558694839522627,0.023036517505432064,0.026037716709322173,0.004136858330275579,0.016719491932324842,0.016055954843551254,0.016075146040751158,0.006016076835791289,0.012026900365904498,0.021016754070491903,0.012656019282773339,0.010606571293628433,0.003377646381432971,0.009044291760847596,0.007822826639186476,0.004235947727270927,0.0014313634940175972,0.003767944266300898,0.005964553811895904,0.011198679464130647,0.005367810296200322,0.00541042459429652,0.009696813142110013,0.005688569795086247,0.001168149007251809,0.0016822124608789938,478.1587867975022,197.8965209634255,0,2
3,3,1552,2244,160,259,116,208,137.35631443298968,233.2229381443299,1.1668237204771303,1594,0.7509750747659273,44.45298385293132,1,0.6916221033868093,0.8570274862008171,54.75260608480253,53.33854141237835,17.804493814764857,7.1196936648160385,6.363839778884804,34.94611236218944,36.15481856524137,-33.43835373546631,150.8528137423857,0.973651191969887,0.6943795287284534,0.012229696324521184,0.16873384202673702,0.10305075748013857,0.004311353626651045,0.004787273160988118,0.02770696325784107,0.003658136381370105,0.0226404700745784,0.002772770953254342,0.004834321890775068,0.005657498338696901,0.019593380485466418,0.027293721936844668,0.019124949757438774,0.005905136924557677,0.0032047168531704946,0.001832525814091723,0.00397410356398093,0.0033327814249475385,0.0022609942460958257,0.0020564907953654846,0.006917813463156146,0.01205346963937324,0.0020700003534695165,0.002529513385345936,0.0024448047306431806,0.002749229632821164,0.002667410515964907,0.0009242076290731181,137.35631443298968,233.2229381443299,0,3
