Channel_DNA,Count_IdentifyPrimaryObjects,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05RescaleIntensity,ExecutionTime_06Resize,ExecutionTime_07IdentifyPrimaryObjects,ExecutionTime_08MeasureObjectSizeShape,FileName_DNA,Frame_DNA,Group_Index,Group_Length,Group_Number,Height_DNA,ImageNumber,ImageSet_ImageSet,MD5Digest_DNA,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05RescaleIntensity,ModuleError_06Resize,ModuleError_07IdentifyPrimaryObjects,ModuleError_08MeasureObjectSizeShape,PathName_DNA,Scaling_DNA,Series_DNA,Threshold_FinalThreshold_IdentifyPrimaryObjects,Threshold_OrigThreshold_IdentifyPrimaryObjects,Threshold_SumOfEntropies_IdentifyPrimaryObjects,Threshold_WeightedVariance_IdentifyPrimaryObjects,URL_DNA,Width_DNA
-1,5.0,0.0,0.0,0.765625,0.015625,0.40625,0.1875,0.28125,0.53125,AG00989F_F00_C2_max_proj.tif,0,1,262,1,2048,1,b'eLspQBBAG00stK15LEFVj0G8s1F8bmJFPFA+S68kMw1c4cDcDQwOkHswqyYQA1E9gQMEyACHJZAGhrAdAMDmjOw=',33986f991547b679bf8b7c8ac55757a0,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F00_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.1535862386226654,0.15057474,-12.112454727414137,1.6107136167756835,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F00_C2_max_proj.tif,2048
-1,4.0,0.0,0.0,0.21875,0.0,0.46875,0.28125,0.203125,0.53125,AG00989F_F01_C2_max_proj.tif,0,2,262,1,2048,2,b'eLspQBBAG00stK15LEFVj2G8s1F8bmJFPFA+S68kMw1c4cDcDQwOkHswqyYQA1E9gQMEyACHJZAGhrAdAME/jO0=',900fb61ca569ff00faaf552e553d10d0,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F01_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.1736127144098282,0.17020854,-12.280183100045246,1.7922726620927278,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F01_C2_max_proj.tif,2048
-1,8.0,0.0,0.0,0.21875,0.0,0.390625,0.1875,0.265625,0.53125,AG00989F_F02_C2_max_proj.tif,0,3,262,1,2048,3,b'eLspQBBAG00stK15LEFVj1G8s1F8bmJFPFA+S68kMw1c4cDcDQwOkHswqyYQA1E9gQMEyACHJZAGhrAdAMGYjO4=',933f78bcec3fe21d9229c4644e1f9d3b,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F02_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.16244283378124239,0.15925768,-12.006727072687053,1.914600682711466,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F02_C2_max_proj.tif,2048
-1,8.0,0.0,0.0,0.234375,0.0,0.390625,0.1875,0.234375,0.484375,AG00989F_F03_C2_max_proj.tif,0,4,262,1,2048,4,b'eLspQBBAG00stK15LEFVj3G8s1F8bmJFPFA+S68kMw1c4cDcDQwOkHswqyYQA1E9gQMEyACHJZAGhrAdAMHxjO8=',da399b8f32efd2b2140b882118374169,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F03_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.19769785881042481,0.19382143,-12.231311049049584,1.7763940298891612,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F03_C2_max_proj.tif,2048
-1,6.0,0.0,0.0,0.171875,0.0,0.40625,0.296875,0.28125,0.5,AG00989F_F04_C2_max_proj.tif,0,5,262,1,2048,5,b'eLspQBBAG00stK15LEFVj0m8s1F8bmJFPFA+S68kMw1c4cDcDQwOkHswqyYQA1E9gQMEyACHJZAGhrAdAMJKjPA=',3ec310d42b0db4da5df9fa3e14c365c7,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F04_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.14001424849033356,0.13726887,-12.606205849253197,1.8770630093199543,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F04_C2_max_proj.tif,2048
-1,6.0,0.0,0.0,0.1875,0.0,0.390625,0.1875,0.28125,0.53125,AG00989F_F05_C2_max_proj.tif,0,6,262,1,2048,6,b'eLspQBBAG00stK15LEFVj2m8s1F8bmJFPFA+S68kMw1c4cDcDQwOkHswqyYQA1E9gQMEyACHJZAGhrAdAMKjjPE=',93002dd6298dcdddbb6f9fdf9b706191,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F05_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.10163828372955322,0.099645376,-12.102164004529527,1.6864621458743159,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F05_C2_max_proj.tif,2048
-1,8.0,0.0,0.0,0.1875,0.0,0.46875,0.234375,0.234375,0.53125,AG00989F_F06_C2_max_proj.tif,0,7,262,1,2048,7,b'eLspQBBAG00stK15LEFVj1m8s1F8bmJFPFA+S68kMw1c4cDcDQwOkHswqyYQA1E9gQMEyACHJZAGhrAdAML8jPI=',312f026b9397ed167630ec8d41ec854a,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F06_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.18311834514141084,0.17952779,-12.016644827268454,1.592185426224205,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F06_C2_max_proj.tif,2048
-1,6.0,0.0,0.0,0.234375,0.0,0.375,0.203125,0.203125,0.453125,AG00989F_F07_C2_max_proj.tif,0,8,262,1,2048,8,b'eLspQBBAG00stK15LEFVj3m8s1F8bmJFPFA+S68kMw1c4cDcDQwOkHswqyYQA1E9gQMEyACHJZAGhrAdAMNVjPM=',88192c3b0c7336dcf933dd78ed752c2b,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F07_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.13558763802051543,0.13292906,-12.233941653563651,1.7811635361836125,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F07_C2_max_proj.tif,2048
-1,9.0,0.0,0.0,0.171875,0.0,0.375,0.203125,0.25,0.484375,AG00989F_F08_C2_max_proj.tif,0,9,262,1,2048,9,b'eLspQBBAG00stK15LEFVj0W8s1F8bmJFPFA+S68kMw1c4cDcDQwOkHswqyYQA1E9gQMEyACHJZAGhrAdAMOujPQ=',b3db3041768d2573ce4389eb4da5f0e2,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F08_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.18539145916700364,0.18175633,-12.163786705167535,1.9041358687145475,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F08_C2_max_proj.tif,2048
-1,8.0,0.0,0.0,0.21875,0.0,0.421875,0.1875,0.21875,0.484375,AG00989F_F09_C2_max_proj.tif,0,10,262,1,2048,10,b'eLspQBBAG00stK15LEFVj2W8s1F8bmJFPFA+S68kMw1c4cDcDQwOkHswqyYQA1E9gQMEyACHJZAGhrAdAMQHjPU=',edbbcb477060c2b4bdca0c16a4271c7f,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F09_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,65535,0,0.14456594824790955,0.14173132,-12.274560993087755,1.6603120277577545,file:////imaging_storage/shared/users/Amulya/converted_v2/progeria/c2/AG00989F_F09_C2_max_proj.tif,2048
