ImageNumber,ObjectNumber,FileName_DNA,PathName_DNA,Children_FillObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,AG00989F_F00_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,445.4692513368984,8.22192513368984,0,1
1,2,AG00989F_F00_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,15.355392156862745,11.318627450980392,0,2
1,3,AG00989F_F00_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,231.54849225753873,111.26324368378158,0,3
1,4,AG00989F_F00_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,191.76232917409388,83.37611408199643,0,4
1,5,AG00989F_F00_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,175.18254364089776,265.56907730673316,0,5
1,6,AG00989F_F00_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,386.2211699164345,347.25626740947075,0,6
1,7,AG00989F_F00_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,504.4183535762483,376.4412955465587,0,7
2,1,AG00989F_F01_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,86.23453608247422,104.41301546391753,0,1
2,2,AG00989F_F01_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,428.99827089337174,106.68011527377521,0,2
2,3,AG00989F_F01_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,156.21518987341773,319.59090909090907,0,3
2,4,AG00989F_F01_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,19.292937620225338,430.4781533388294,0,4
3,1,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,251.24878048780488,2.658536585365854,0,1
3,2,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,29.884951206985104,28.93528505392912,0,2
3,3,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,152.98776342624066,17.135282121006117,0,3
3,4,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,2.0,89.5,0,4
3,5,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,14.752212389380531,215.9597747385358,0,5
3,6,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,478.2061769616027,197.88146911519198,0,6
3,7,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,295.2301038062284,259.77393310265285,0,7
3,8,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,383.97960954446853,260.3587852494577,0,8
3,9,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,136.7791817087846,233.20998796630565,0,9
3,10,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,197.67255546425636,281.73336072308956,0,10
3,11,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,378.6994063680518,399.27145169994606,0,11
3,12,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,197.87972876516773,384.2498215560314,0,12
3,13,AG00989F_F02_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,417.35195996663884,439.40533778148455,0,13
4,1,AG00989F_F03_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,340.49468085106383,2.5531914893617023,0,1
4,2,AG00989F_F03_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,380.4839285714286,341.49285714285713,0,2
5,1,AG00989F_F04_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,59.9,2.066666666666667,0,1
