ImageNumber,ObjectNumber,FileName_DNA,PathName_DNA,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_IdentifyPrimaryObjects
1,1,NP_LMNA_K9me2_Pol2_Well2_40X_F00_C1_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c1,14776,24125,381,262,256,69,323.9605441256091,156.85977260422305,14776.0,1.0231815394945443e-10,14673099.99722523,-154774206.12115827,1.0467715583217796e-10,-2329652.7525717383,106391281.85344505,-9901822191.394531,26898593.448835954,190548045.71124434,21757256944.21361,-83920954065.0017,2.433994420618702,17536,0.6919238174321711,137.16190255682065,1,0.6124766839378238,0.4108472852397944,0.19040745630169412,0.003590911760831608,0.0008230622822046151,5.717059523877737e-05,2.8685987100640213e-09,2.569769389501746e-06,1.2065206006859037e-08,1849.4504009824668,964.0101733313654,993.0360041435594,157.6646421610543,157.6646421610543,1820.424570170273,172.02094760731748,192.02343606966312,51.894122981316485,16.84391594358312,14.560219778561036,115.25840533340725,124.19405289023241,nan,nan,0.06720601002595826,-0.005831850455964535,nan,-0.010670319583179095,0.004008794883444379,-0.0030693363028543013,0.12320144627573586,0.007179799109383765,0.006744247402002542,-0.00021400372065336705,0.003431207110273275,-0.000510045717280696,0.0008524206203558262,-0.0004234091753097327,-10.431269601152747,672.2691193458119,0.8426094890510949,14776.0,1004185.0,82918059.0,7474765921.0,1298216.0,85897813.0,7074904153.0,636241188991.0,140959556.0,9360870649.0,775017835117.0,69535020147343.0,0.51022123269077,0.08395359975292233,0.17114854036102567,0.03966568257996697,0.04109380270327756,0.028896814367886024,0.004961751061823316,0.02191954498366349,0.026316635791490177,0.015768792610049407,0.02388373671551312,0.01390032640136349,0.0034770857886381725,0.0033968772461479683,0.023172823925283862,0.019074200482450773,0.015557047023313756,0.022719074749437313,0.018748324708327813,0.0032689011691781366,0.0020636371785683226,0.008601281858891502,0.0004887706722568137,0.00933576315321191,0.007251775638786946,0.0015545136729222797,0.0032814236845981016,0.011510932805863905,0.004523559036084648,0.0027984682681512214,323.9605441256091,156.85977260422305,0,1,1
1,2,NP_LMNA_K9me2_Pol2_Well2_40X_F00_C1_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c1,1,1,257,198,256,197,256.0,197.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,256.0,197.0,0,2,2
1,3,NP_LMNA_K9me2_Pol2_Well2_40X_F00_C1_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c1,1,1,365,227,364,226,364.0,226.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,364.0,226.0,0,3,3
1,4,NP_LMNA_K9me2_Pol2_Well2_40X_F00_C1_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c1,3941,6800,340,276,260,191,301.94747526008626,237.93681806648058,3941.0,-4.369837824924616e-12,1178802.1273788377,-3187927.603467429,2.6695090582506964e-11,103951.92133976171,3135422.7798616257,90764680.99942015,1467139.2676985536,4309522.701554735,267824690.9747421,1526493131.1631155,2.1392693574209836,4627,0.48669432448437955,70.83669279265709,1,0.5795588235294118,0.4674493169974442,0.17035989002448582,0.0005238317667434596,0.0005162424320529118,8.756025475857979e-06,5.460050751238194e-10,2.9461101383627903e-08,2.2008070218718018e-10,380.79372851391554,290.59459807258327,299.11244033972037,-26.37704170001566,-26.37704170001566,372.27588624677844,78.05574710565935,84.1486779456457,27.730849247724095,9.525447755862094,8.246211251235321,68.11498273374188,68.18734170769038,nan,nan,0.07589759968021322,-0.0032695829729014114,nan,0.006692981908149114,0.003215733294172821,0.0014828512275118816,0.09446229034427261,0.004419906534580566,0.004375536468556793,0.0003972577078230327,-0.0059420460383941736,0.0005866873347810422,0.00037983025883250355,0.00016603571741530534,17.896636266335655,325.492424049175,0.8517397881996974,3941.0,165315.0,8113349.0,436042125.0,184978.0,7863312.0,392671250.0,21500502276.0,10149418.0,439810328.0,22198180186.0,1223970537440.0,0.6636497715154033,0.05627794308925835,0.18289651914161628,0.03317697433628438,0.011117595512003732,0.04187713720303842,0.03621323649315332,0.010282947101604139,0.01343215620565493,0.020803614555856702,0.02104310767270602,0.012432140034034029,0.010683626431925426,0.014994934071198935,0.016711695186938845,0.007150222846962595,0.0053683462720294246,0.015073598925899084,0.009646643986516398,0.0034573499710272675,0.0032623986069509397,0.0004793416936667989,0.006234391759378338,0.005362566138868456,0.009593272427853072,0.006914258315398729,0.011332832344355646,0.0026812423525365116,0.0023225274887224323,0.0031513257609861174,301.94747526008626,237.93681806648058,0,4,4
1,5,NP_LMNA_K9me2_Pol2_Well2_40X_F00_C1_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c1,62,78,6,275,0,262,2.064516129032258,267.2258064516129,62.0,3.552713678800501e-15,155.74193548387098,69.83975026014572,-9.769962616701378e-15,-74.9032258064516,-37.56087408949015,-316.3754825282804,716.8387096774194,-284.624349635796,1653.1155718169916,-483.1102963549288,1.3060688163191958,66,0.8939795510143276,8.884866446580956,1,0.7948717948717948,0.7656564397718578,0.22699808667047094,0.022825114626200637,0.0012790252104066676,0.00023755488769683754,1.199334115645343e-07,2.7542159765696063e-05,5.255759130575615e-08,11.720415375066668,2.3534659985025326,2.511966701352758,1.2081165452653484,1.2081165452653484,11.561914672216442,13.694036877453875,12.649110640673518,3.0,1.5887196950984388,1.4142135623730951,5.0,6.1364041568365195,nan,nan,0.040515591957302546,0.00230740300538504,nan,-0.019485750730086265,-0.001240956238190274,-0.001327479282871842,0.1864824947131684,-0.009403571423281144,0.00693630447038112,-0.00025743961679775614,0.014923035081761212,-0.009576081972329308,0.00020091501438752692,-0.0005931984416679715,-7.47431876155359,31.899494936611667,0.9393939393939394,62.0,128.0,420.0,1580.0,324.0,594.0,1848.0,6750.0,2410.0,3908.0,11378.0,39824.0,0.49338032358487544,0.06060439676322786,0.1313028280508137,0.12294976883422135,0.01712823046342312,0.027354647328970347,0.07124173140150959,0.016772025870613043,0.048822044469040045,0.005632623100667934,0.011089730006353812,0.0182991598643437,0.019143355498772007,0.018249610050531953,0.005683308225181638,0.01612690323025735,0.00854050209162296,0.020926260301852587,0.010018280867373145,0.019374696975154482,0.0044832579731199414,0.02831205350777474,0.01359189980881675,0.004167279110619896,0.01822689900932263,0.012053590477927908,0.005147100949224997,0.011044623008566328,0.004867275436574536,0.012572127543202445,2.064516129032258,267.2258064516129,0,5,5
1,6,NP_LMNA_K9me2_Pol2_Well2_40X_F00_C1_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c1,4862,10208,198,454,110,338,159.86219662690252,410.461949814891,4862.0,-1.9397816686250735e-11,1883193.6717400248,-14182507.956369493,1.3228884654381545e-10,-504951.49362402235,8237535.342769206,-341116792.5916701,2967946.4607157544,5595591.507889571,536024539.2247272,-1162222085.4214723,2.8832173533475403,6723,0.6841317137607602,78.67967124043136,1,0.47629310344827586,0.3468347604244809,0.2052172724267436,0.003930879305876429,0.0024205664378692906,0.0006763727915468678,4.6987975458314013e-07,1.720501739006157e-05,-7.267750256200979e-07,651.2989273595978,346.46745117922967,387.3290151666032,103.8567448835916,103.8567448835916,610.4373633722242,102.08223566200715,115.10864433221339,26.870057685088806,9.41743406591381,8.0,81.8593686750047,74.45454464885051,nan,nan,0.07966454446042846,-0.008604302088028424,nan,-0.021360910095349978,0.004997581723066473,-0.002967961315119254,0.12555272796631514,0.003394756402972119,0.004663798824697505,-0.00014502296605120837,-0.03047764108920962,-0.0034985806382471485,0.00020562548377096903,-0.0003233932641947797,-21.476740277706163,419.71172413918134,0.7231890525063216,4862.0,242430.0,13971286.0,870256848.0,352310.0,17061999.0,970268179.0,60185326311.0,28497016.0,1353339867.0,75728604091.0,4641494914827.0,0.4668734462938654,0.12389727632203187,0.120040342121358,0.06288590297085511,0.05858430532953404,0.004023751283565302,0.008481819828006023,0.021559780850793162,0.011490405068960406,0.028315849313359214,0.023546585363708985,0.009433217068564011,0.0061952264886049446,0.01696902396329481,0.010963561644266715,0.007735862759693204,0.0037039939924978487,0.005314873585729075,0.013073787508551966,0.0045490041408149445,0.0075602271221073365,0.010411192092732896,0.009149405873431592,0.006847979683364456,0.0059882774029112245,0.004460501266312768,0.009035923867386319,0.013464774999058923,0.002960680022764816,0.0016977489443270042,159.86219662690252,410.461949814891,0,6,6
1,7,NP_LMNA_K9me2_Pol2_Well2_40X_F00_C1_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c1,7315,12052,164,440,72,309,112.2961038961039,367.7254955570745,7315.0,-1.13473674900888e-11,3505294.638961039,19747773.891732216,-2.3298696305573685e-11,-61918.42337662338,-7843761.418582713,-38037257.346549235,5966060.795078605,-24468275.824371893,1617882697.4112694,-6994618277.825594,2.3160621226931184,8384,0.6425534989042647,96.50775756247637,1,0.606953202787919,0.4317673477761466,0.1770041601992861,0.0021202245221957306,0.0005840189809029533,3.915565679591499e-05,5.182941783271351e-09,1.7322909237396894e-06,-2.8630404543799985e-09,815.8055799036229,478.97985195415504,479.1927052578318,8.464582826606067,8.464582826606067,815.5927265999461,114.24924191633818,130.98091464026353,38.0,12.557561338531594,10.44030650891055,91.0,87.54243331817136,nan,nan,0.06550823038384576,0.004315015100054692,nan,-0.001157154179987159,-0.0017139121172833095,-9.717760769779516e-05,0.11149592981544033,-0.005346475011984586,0.004133367677844582,-0.00020893628180405173,0.007885763318178918,-0.00019383603918525605,-0.0001680887648965255,3.3809320813851348e-06,-1.4404757563140322,461.4102089490163,0.8724952290076335,7315.0,294766.0,15383216.0,922130878.0,429577.0,17248361.0,890553079.0,52864711499.0,31193183.0,1225223087.0,60877970117.0,3488640778013.0,0.5428857116890716,0.058752723334318496,0.20239064413068514,0.046773957367751376,0.022503213381163453,0.017296854823666778,0.0020313976262511077,0.015118775730312596,0.02430722431274858,0.020849041465714112,0.0245581756428653,0.00688166656782451,0.018933742650695088,0.016061753039535394,0.010277031080565992,0.012011899851966252,0.010873714261648395,0.007623033518417726,0.010180195576805698,0.0035762900540345873,0.005331042438716999,0.006048585437350968,0.013972621912104192,0.007539594550906051,0.008020207472885486,0.006901468310263547,0.009519726258249178,0.005298524444929656,0.006494450419366693,0.001690437588704565,112.2961038961039,367.7254955570745,0,7,7
1,8,NP_LMNA_K9me2_Pol2_Well2_40X_F00_C1_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c1,1012,3146,22,512,0,369,4.607707509881423,454.39130434782606,1012.0,2.5579538487363607e-13,21115.259881422928,138046.16931408085,4.001776687800884e-11,83294.34782608684,542399.0594603887,7596230.66501543,1831969.04347826,298968.605258636,45941918.76747868,346088743.94914913,16.230178873345828,2231,0.9952791686949364,35.89593875735784,1,0.32167832167832167,0.061613615463120976,1.8093981933787466,3.152860009629448,0.6807285950106706,0.5749578259199535,0.35958950087929675,1.012674693130259,0.008933355877233864,1814.0239969425415,17.086974756749676,20.86488130575381,-82.30666781233877,-82.30666781233877,1810.2460903935375,170.36544236164994,143.4015341619468,5.0,1.8158838218649196,1.4142135623730951,21.0,16.53455763266725,nan,nan,0.020617471646001858,0.004237142582332973,nan,0.0813306994193071,0.01664821387566418,0.0073292005651667,1.7887807217327447,0.009176441580497028,0.04432692368679716,0.01049676999225539,-0.7747892968410053,0.27879451286624174,0.037440761790507,0.020481136522332202,2.628052912252236,454.31475451951127,0.4536082474226804,1012.0,4663.0,42601.0,528925.0,86416.0,481474.0,4947746.0,65564734.0,9211144.0,56966452.0,621947844.0,8519973256.0,0.06265893888698622,0.013430331475707906,0.01226615017677301,0.023979281336070878,0.006257250249580009,0.010234129912923055,0.011657811343423299,0.0070444887896619875,0.014899389125709372,0.004530626366428498,0.005173891184348172,0.00807547355107051,0.008169496747224376,0.004590256642878436,0.005610467081746771,0.010126164253513991,0.004632332938259689,0.004220536093190497,0.0049796839524936295,0.0064470058493621,0.006625932860439183,0.002412763675676722,0.0033002634165030316,0.004196314037300488,0.007010659604817479,0.004464735791717467,0.003529439055204002,0.0042674255539447885,0.004573658248460488,0.00512399568693439,4.607707509881423,454.39130434782606,0,8,8
1,9,NP_LMNA_K9me2_Pol2_Well2_40X_F00_C1_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c1,6,12,170,503,166,500,167.5,500.6666666666667,6.0,0.0,5.5,0.0,3.3306690738754696e-16,-3.0,1.3333333333333335,-6.750000000000001,3.333333333333334,-2.0000000000000004,5.2777777777777795,-4.500000000000001,0.35961007706946446,8,0.9157938562442205,2.763953195770684,1,0.5,2.7807897046412133,0.2453703703703704,0.03140003429355281,0.005398059238937158,0.0015876644820403403,4.601750683351191e-06,0.00021404069313432734,-6.533598691524026e-07,1.2677127558056844,0.20450946641653792,0.9166666666666666,0.5,0.5,0.5555555555555557,4.503710036502234,3.605551275463989,1.0,1.0,1.0,1.3416407864998738,1.808908914971842,nan,nan,0.1527777777777778,0.0,nan,-0.08333333333333333,0.015120307054217151,-0.03125000000000001,0.09259259259259262,-0.02268046058132573,0.02443415637860083,-0.008505172717997148,0.01764035822992002,-0.01851851851851852,0.008575174139544452,-0.006944444444444446,-54.92760718466052,5.207106781186548,0.75,6.0,9.0,19.0,45.0,4.0,3.0,5.0,9.0,6.0,3.0,5.0,9.0,0.5876490206469982,0.10865634235481789,0.015067923606333277,0.18637992176294982,0.0919399819925382,0.008358180181139844,0.22601885409499933,0.2070329316232278,0.20084062556446214,0.014787549551247408,0.017359297299290432,0.012215801803204378,0.20961354081946487,0.21706571819379114,0.18458176136298474,0.18618020575095567,0.07106925988341974,0.013106022177526966,0.04040611365675295,0.006874479557268865,0.21948964914587354,0.18702560194508755,0.20334829100357557,0.23483803040486073,0.19594640394425009,0.02014408923947908,0.002605986993209289,0.058476826383386624,0.031199561067604836,0.0013657654460761043,167.5,500.6666666666667,0,9,9
2,1,NP_LMNA_K9me2_Pol2_Well2_40X_F01_C1_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c1,191,330,507,84,492,62,498.6178010471204,71.44502617801047,191.0,2.7533531010703882e-14,2227.0994764397906,1741.2488144513593,-1.1546319456101628e-13,-1244.5130890052355,-229.83723033908146,-26608.89347205194,5367.17277486911,-1577.532852717853,54648.38044877697,61756.79376748577,1.999981946165984,251,0.8311293053026889,15.594510349620345,1,0.5787878787878787,0.500004513499247,0.2081706162470574,0.012063831723691278,0.0002813862064565978,8.057558596508526e-05,6.7549700319562216e-09,6.5198460320007445e-06,-1.0078304134148302e-08,30.369581781572613,9.391005921615353,11.660206682930843,6.515775335105945,6.515775335105945,28.10038102025712,22.043441394327743,21.93171219946131,5.385164807134504,2.210232324250226,2.0,14.0,12.25789927947875,nan,nan,0.06104820252843372,0.003453642782907649,nan,-0.03411400699008348,-0.0004558657471673043,-0.0038187982343605297,0.14712241371862367,-0.0031289238541738124,0.007842909326073483,0.0006413099162489375,0.009426380982225277,-0.01024988897576881,-0.0002510583315056907,-0.0010256996391206283,-19.20131532788263,69.2842712474619,0.7609561752988048,191.0,1264.0,10592.0,101314.0,1804.0,10694.0,83340.0,762230.0,22406.0,123192.0,898226.0,7855500.0,0.5053166313189021,0.10119081104995499,0.13080461886277372,0.0749369973971943,0.04926730493321223,0.04515426490228948,0.016481984862530646,0.013728360153516127,0.015309703927844238,0.010340522186274579,0.023972182827193978,0.013735123541725569,0.000556370987561864,0.008784231930894936,0.009076459722655963,0.01628001643233477,0.011867470219215696,0.00528635712732272,0.0038269182304627074,0.00667271312552204,0.013674770222460816,0.009212435715264373,0.01191447852538014,0.012554266219962404,0.016189745193958743,0.003188638976349243,0.0042100213991246764,0.006687265774350589,0.008058788533649159,0.00600253497535042,498.6178010471204,71.44502617801047,0,1,1
