ImageNumber,ObjectNumber,Children_FillObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,1,318.98916478555304,176.26280411336845,0,1
1,2,1,130.90009172909342,387.1838403913775,0,2
2,1,1,417.56013262332965,123.27278207575606,0,1
2,2,1,123.19889575391088,393.0356250821612,0,2
3,1,1,408.49199614271936,109.10196078431373,0,1
3,2,1,363.0,134.0,0,2
3,3,1,350.5,262.5,0,3
3,4,1,380.899176834608,313.28577266623853,0,4
4,1,1,392.8458884416331,158.28441633122483,0,1
4,2,1,136.75061808018918,226.0881077788527,0,2
4,3,1,212.0,284.0,0,3
4,4,1,314.6563124029288,378.26741735078764,0,4
5,1,1,436.2689635749155,95.36875704093129,0,1
5,2,1,151.59757792336708,140.09966249751835,0,2
5,3,1,191.5,177.5,0,3
5,4,1,236.88885416666668,237.57260416666668,0,4
5,5,1,377.9626392459297,371.3467866323907,0,5
5,6,1,87.30271506566328,383.6781761841523,0,6
6,1,1,324.8122095214169,104.50094209270192,0,1
6,2,1,332.5,150.5,0,2
6,3,1,132.58113069016153,169.70239843367597,0,3
6,4,1,338.5079479768786,220.90132122213046,0,4
6,5,1,75.34835443037974,304.52830379746837,0,5
6,6,1,399.12338843628885,385.8291544728308,0,6
7,1,1,100.0,103.0,0,1
7,2,1,126.06129506990435,100.61479028697572,0,2
7,3,1,285.297960093635,139.34845613643964,0,3
7,4,1,229.71927437641725,229.10022675736963,0,4
7,5,1,443.2772825825102,433.9839797639123,0,5
8,1,1,429.689696485623,144.32787539936103,0,1
8,2,1,79.76004952538176,381.4699133305819,0,2
8,3,1,269.42071334214,385.57616908850724,0,3
9,1,1,336.0,29.0,0,1
9,2,1,348.31821639094886,115.75470621791214,0,2
9,3,1,272.32675611681134,212.6219415943173,0,3
9,4,1,105.37737714451876,306.4101773771445,0,4
10,1,1,331.99175347222223,206.15250157828282,0,1
10,2,1,160.28397078608495,220.10013453776668,0,2
11,1,1,287.1029142787465,70.20302402146079,0,1
11,2,1,96.23297843786347,198.6804151382303,0,2
11,3,1,73.5,191.5,0,3
11,4,1,345.3354111284261,343.94353286277385,0,4
12,1,1,313.03751486869794,93.9666941165706,0,1
12,2,1,278.88352813264476,210.47662408263116,0,2
12,3,1,184.15987983978638,418.67790387182913,0,3
13,1,1,354.6829750938246,165.26407369498466,0,1
13,2,1,161.6394235419286,268.22845536318795,0,2
13,3,1,184.70638743455498,439.09486910994764,0,3
14,1,1,166.55238325671425,80.78474070489555,0,1
14,2,1,258.2464155312138,211.2451687594621,0,2
14,3,1,413.7869961753457,420.45062273217616,0,3
15,1,1,90.58539382211711,126.9071884182613,0,1
15,2,1,395.99966276978415,230.45357464028777,0,2
15,3,1,281.30111856823265,405.56850111856824,0,3
16,1,1,218.0,219.0,0,1
16,2,1,281.49057627787647,231.72937635681862,0,2
16,3,1,327.0,229.0,0,3
17,1,1,257.748633519921,244.62028317418506,0,1
18,1,1,342.00910530482975,156.63944972288203,0,1
18,2,1,131.97905042636066,395.3143488788294,0,2
19,1,1,368.15247261444944,94.6689672639777,0,1
19,2,1,151.23981803585764,415.8521273748997,0,2
19,3,1,206.0,392.0,0,3
20,1,1,229.5,237.5,0,1
20,2,1,274.1318088243476,254.10226450787292,0,2
21,1,1,142.98676234071507,100.8743453338282,0,1
21,2,1,197.6861309339125,233.70797393732548,0,2
21,3,1,382.0,393.0,0,3
21,4,1,133.0,422.0,0,4
21,5,1,395.74423341920794,432.5706668264334,0,5
21,6,1,104.5,436.5,0,6
21,7,1,162.0,437.0,0,7
21,8,1,413.0,479.0,0,8
22,1,1,308.21957262310315,111.78651801383297,0,1
22,2,1,224.64806763285023,192.22109500805152,0,2
22,3,1,260.07312270652466,397.178107938781,0,3
23,1,1,112.40941226879954,94.36934942512319,0,1
23,2,1,223.3964305360308,216.59971884359146,0,2
23,3,1,111.03262177741179,358.80414264901503,0,3
24,1,1,381.5,351.5,0,1
