ImageNumber,ObjectNumber,Children_FillObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,1,273.5,97.5,0,1
1,2,1,369.0,112.0,0,2
1,3,1,352.70462225055786,166.29327382849857,0,3
1,4,1,360.0,239.0,0,4
1,5,1,200.55583672797596,278.41791136896677,0,5
2,1,1,72.0,129.0,0,1
2,2,1,191.0,130.0,0,2
2,3,1,279.5,158.5,0,3
2,4,1,319.5,177.5,0,4
2,5,1,130.5,234.5,0,5
2,6,1,380.0,205.0,0,6
2,7,1,438.0,248.0,0,7
2,8,1,238.5,285.5,0,8
2,9,1,263.24435449820186,225.16118981407334,0,9
3,1,1,326.0,272.0,0,1
3,2,1,234.59216180746765,304.20717428784644,0,2
4,1,1,209.0,223.0,0,1
4,2,1,323.0,218.0,0,2
4,3,1,308.0,323.0,0,3
4,4,1,129.0,305.0,0,4
4,5,1,234.9537003457363,292.8639781436619,0,5
5,1,1,141.75355824155017,202.7412187963518,0,1
5,2,1,55.8996399639964,176.01395139513951,0,2
5,3,1,349.67105063098677,299.2278774517257,0,3
6,1,1,224.0,166.0,0,1
6,2,1,266.27521905189843,268.01130832022767,0,2
6,3,1,326.5,311.5,0,3
6,4,1,213.0,357.0,0,4
6,5,1,300.5,360.5,0,5
7,1,1,224.0,166.0,0,1
7,2,1,266.35290725371715,268.0648396559938,0,2
8,1,1,203.20247256839284,127.12233752048061,0,1
8,2,1,302.5,128.5,0,2
8,3,1,248.0,205.0,0,3
8,4,1,247.15384615384616,231.92307692307693,0,4
8,5,1,329.4397506118168,223.36767276541195,0,5
8,6,1,227.50510204081633,414.22915451895045,0,6
9,1,1,205.5,100.5,0,1
9,2,1,131.5,277.5,0,2
9,3,1,380.5,276.5,0,3
9,4,1,186.0,325.0,0,4
9,5,1,239.0,359.0,0,5
9,6,1,248.60659783737552,267.15744394892783,0,6
10,1,1,205.5,100.5,0,1
10,2,1,395.5,291.5,0,2
10,3,1,388.0,388.0,0,3
10,4,1,262.5,409.5,0,4
10,5,1,248.5321263973328,266.87996420866835,0,5
11,1,1,248.5,131.5,0,1
11,2,1,251.7872565565646,270.86266709528786,0,2
11,3,1,141.0,230.0,0,3
11,4,1,155.5,384.5,0,4
12,1,1,240.5,109.5,0,1
12,2,1,289.5,105.5,0,2
12,3,1,267.2387663460663,264.4514548378288,0,3
12,4,1,241.0,402.0,0,4
13,1,1,236.0,163.0,0,1
13,2,1,265.9720046230898,268.7001926287402,0,2
13,3,1,220.5,351.5,0,3
14,1,1,236.0,163.0,0,1
