ImageNumber,ObjectNumber,FileName_DNA,FileName_OverlayObjects,PathName_DNA,PathName_OverlayObjects,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_IdentifyPrimaryObjects
1,1,Late_progeria_IF_Test_0.1um_C2_max_proj.tif,Late_progeria_IF_Test_0.1um_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,31536,46600,467,271,234,71,352.5549213597159,166.32201293759513,31536.0,1.2880718713859096e-10,94435472.87620498,-318676181.9516463,1.9248602711741114e-09,34453060.773592025,-708527517.8032603,229958013406.34787,81171286.95861878,-340744512.16246957,226321322881.05853,-4781716030505.455,1.2964000568828709,32621,0.7556538543003896,200.38184120016487,1,0.6767381974248927,0.7713668282339096,0.17657451247162503,0.004978413089648214,0.0002070983777410125,1.8863504854553947e-05,1.1444412220205655e-09,1.268213015524574e-06,-2.8345600284035034e-10,3896.783414713729,1671.6704105914382,2994.529200792903,-1092.4993903346026,-1092.4993903346026,2573.9246245122645,249.69688551405616,256.8501508662201,83.86298349093002,29.802816920190377,26.627053911388696,168.99852070358486,163.5442648626451,nan,nan,0.09495589804645176,-0.0018044011196873004,nan,0.034642928409899874,-0.004011808597127764,0.0073321058720966625,0.08161861442517328,-0.0019293559233320879,0.007216151661323609,-0.000858540243093624,0.0017931235815707876,0.005488207288382457,-0.000587853178961661,0.0009921136180966524,50.44797886096822,716.7665940288703,0.9667392170687594,31536.0,3738748.0,537682448.0,85817804278.0,3006075.0,390838046.0,58713605568.0,9611026740878.0,367716407.0,49822115412.0,7594273307722.0,1249122189297252.0,0.6050578511648763,0.04975154504004328,0.19071185916217046,0.08453273186367337,0.008690108364959382,0.0032553446840623505,0.008872065701381727,0.01853673425351448,0.026163750580551197,0.013201822093153322,0.019410615688715133,0.0075930692440532134,0.023878977377475966,0.02398410636337463,0.005161489216307094,0.00905314850349127,0.0070168770124411734,0.005700662755204846,0.009027896391347922,0.00913234770100874,0.006678902707316854,0.005287920311696744,0.008850256055807089,0.0032000277655096637,0.0012922821610432712,0.003246682476280475,0.01078337093219575,0.0020450796134329685,0.0036267067049620327,0.0087806636477514,352.5549213597159,166.32201293759513,0,1,1
1,2,Late_progeria_IF_Test_0.1um_C2_max_proj.tif,Late_progeria_IF_Test_0.1um_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,48560,70315,339,392,52,147,200.46293245469522,278.46657742998354,48560.0,-3.8264147406152915e-10,229844347.27841845,661839304.7405754,-1.7155343812191859e-09,39778879.33937398,1775659425.0939875,368582752669.0601,165649933.75516897,-49864996.80527843,581070848827.9489,8415995570396.09,1.3876895821926958,51421,0.6409212957938601,248.65339791030306,1,0.6906065562113347,0.7206222579115242,0.16771922684414406,0.0018793883331893382,0.00016799638452865372,2.029606734655184e-06,3.529560173251551e-11,8.396839460933807e-08,1.2600213457205232e-11,5124.807267695222,3019.6383878564147,4733.203197661007,-819.169673380848,-819.169673380848,3411.2424578906302,286.351036811679,292.7404994188539,105.19030373565806,37.142986891489315,32.89376840679705,224.67085768409956,219.80494581720092,nan,nan,0.0974712355366764,0.001273666892364197,nan,0.016869227211302473,0.003417141601681009,0.003218836926680797,0.07024799130746766,-9.596195793119973e-05,0.00507449763094181,0.000333526330242126,-0.0026155071325697104,0.0026308936117719573,0.00022343387059942395,0.00039739866731702594,64.44986803550222,920.2173875177026,0.9443612531844966,48560.0,7209360.0,1300167074.0,261935187402.0,6384017.0,987568764.0,184515552884.0,38225491920144.0,1004934799.0,159604888430.0,30261264518622.0,6329581293687830.0,0.6830994246052098,0.011651417805094008,0.19099055419604344,0.0637003291967695,0.004513241417389301,0.02461834248485117,0.0476988532259619,0.008320179935672252,0.006438976567223656,0.008560340511464514,0.007250667889046896,0.020710327916594374,0.01821886966595656,0.02655655627272201,0.0004586548403443038,0.004581494737172047,0.0016537663633653893,0.006746935150138248,0.0014979365247216913,0.009987745959668556,0.011519690159703442,0.006815794407588117,0.0032125497026856873,0.0051424101704376085,0.001754731352944767,0.00614858014289137,0.00339531380867504,0.008830083501823321,0.0039397645038999575,0.0016644790309837648,200.46293245469522,278.46657742998354,0,2,2
2,1,Late_progeria_IF_Test_1_C2_max_proj.tif,Late_progeria_IF_Test_1_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,68935,115136,488,353,40,96,263.19965184594184,225.05338362225285,68935.0,-7.240714694489725e-10,897019317.1916445,-453851861.1733489,-6.931259122211486e-09,313507300.2812073,-713621516.5052695,7865840387514.858,269756215.5482701,-355638445.19390637,4184050588124.795,-16125884516810.83,1.6062338705998849,70700,0.9293676760575085,296.26131711095604,1,0.5987267231795442,0.6225743450588096,0.24553180332785055,0.03483359556050884,3.072753699531528e-06,7.872166416680009e-07,1.1291154969686785e-12,1.1083631490762388e-07,4.734226141942387e-13,14895.799077881093,2029.9357845242848,13012.538147409074,-4547.86828579397,-4547.86828579397,3913.1967149963025,488.19338918721286,482.1617985697332,88.50988645343524,36.6400705122132,34.438350715445125,182.4998362845908,180.21923469038634,nan,nan,0.18876533179675165,-0.00036375977363854245,nan,0.0659732833218825,-0.0005719637254244969,0.024011859291661285,0.05676647153109889,-0.0002850422602354093,0.012772549281665099,-0.00018749267944830633,-3.3240837107069284e-05,0.007636895742617355,-0.00011992683504913102,0.002635187927733223,67.5056758016714,1179.5849198858496,0.975035360678925,68935.0,15386268.0,4331228978.0,1366703746686.0,8896295.0,2299157247.0,698195573885.0,230620742693925.0,1417853187.0,397027055045.0,125537386604459.0,4.24945098123288e+16,0.37754115629868573,0.006355436636208037,0.15743174367617885,0.08350741392641271,0.005717866572908109,0.003470726251948439,0.04264603441748265,0.06047253602560604,0.034711940341002306,0.0030075113432903263,0.003566514305529465,0.0021635305861149767,0.015506025707728962,0.013230925822905838,0.025017417029794823,0.01783771197072116,0.0009943165387118235,0.0008794526576322933,0.00204656784976395,0.0014648424409540158,0.0023804106730645445,0.0018159547309642122,0.0004229768854447305,0.009937127841268482,0.010382731642187388,0.0012759701421944146,0.0008520609027039006,0.0008708045205315321,0.0011141756409884602,0.0010058486709924007,263.19965184594184,225.05338362225285,0,1,1
3,1,Late_progeria_IF_Test_2_C2_max_proj.tif,Late_progeria_IF_Test_2_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,38902,56648,380,401,88,207,234.68849930594828,304.17323016811474,38902.0,-2.0520474208751693e-11,199256059.2345895,211790902.078784,-4.735156267088314e-09,-28332536.796822853,1680432671.704738,-262094801214.6309,83426365.60189714,-603457067.3426158,321790032560.0161,-5005100774470.769,1.5171174007973518,41879,0.7915310386301946,222.55687985161748,1,0.6867320999858777,0.6591447698605458,0.18679057069179075,0.0072600212705717804,0.00037260848539276165,2.147014864756073e-05,-6.600349029883871e-10,-9.430485130228036e-07,-1.8033506461387318e-09,5290.600597855276,1975.9261831967697,5122.000391614558,728.3054032394955,728.3054032394955,2144.526389437488,290.946059546584,292.3439754809392,76.32168761236873,28.98618807358707,26.832815729997478,182.00736762563048,177.80556496113476,nan,nan,0.131664191856834,0.0007095409683584272,nan,-0.01872154139220337,0.0056297783022756205,-0.00445187147718465,0.055126378834956746,-0.0020216992690542425,0.005465838547568587,-0.0004310335475568549,-0.0011858623218057153,-0.0021708234852414353,0.00047951152249281617,-0.0003849376871530159,-76.96582287625073,861.1930009000631,0.9289142529668808,38902.0,5706476.0,1036330460.0,210686695478.0,3780233.0,526184169.0,94071896383.0,19121574965247.0,450763817.0,60012082551.0,10436725836045.0,2087746048178733.0,0.5795239956730573,0.01970915745854465,0.18403789611840846,0.08948608036941373,0.025181165938824444,0.018464787323612324,0.011583587876739524,0.0326524530414261,0.02573147370220977,0.00845755507680328,0.018863360118742935,0.008764141911666383,0.014975359675823611,0.015488098749933007,0.007785421273059917,0.013178597739515305,0.01192182758613644,0.008194224542747673,0.00716983499266588,0.0025081870023959275,0.0019290639484119145,0.004183243335793774,0.02027009654179451,0.002041862027988245,0.008033500021970725,0.008708489905415789,0.0037359058725847704,0.005438209825767293,0.0045725954743114534,0.0007613722733862145,234.68849930594828,304.17323016811474,0,1,1
4,1,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_1_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_1_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,41483,59130,369,401,99,182,234.97931682858038,292.80326880890965,41483.0,-7.605365226481808e-10,184517276.25383884,-317729932.26904136,-9.815721568884328e-10,-55235627.79536196,88532158.10905509,-474312240815.5464,118428683.47674961,146081609.27505493,430381714837.68286,-24184087928.43197,1.1974116822753018,41756,0.7722836011027584,229.8212262482488,1,0.7015558937933367,0.835134661539143,0.17604546901450274,0.005596078867885412,6.116433328894452e-06,2.797034131554558e-07,-3.715788295363222e-14,-4.873294997714324e-09,3.6395195085371324e-13,5203.055324161323,2099.8388669672945,4448.021508903378,1331.5244267618532,1331.5244267618532,2854.8726822252393,288.5288290389388,284.41167345944154,90.21086409075129,35.33581696598283,32.0,180.10596739665309,183.2959952412401,nan,nan,0.10722516473985436,-0.0009065311648602715,nan,-0.03209807455492258,0.00025259552930706193,-0.0066443708364370795,0.0688203042746484,0.0004167927474602679,0.006028973044605326,-1.6633520027027587e-06,-0.00045224446037856955,-0.004419177108217916,-1.6069900782652694e-05,-0.0007221797952757514,-60.44482707851222,790.0630585851519,0.9934620174346201,41483.0,5640830.0,951553486.0,179254929356.0,4596452.0,569786775.0,90501962989.0,16359853160607.0,627730590.0,73263882161.0,11033158383307.0,1906086738398669.0,0.6529582894578904,0.029123574932208636,0.17875836257496425,0.09891088377494889,0.010771211665739099,0.009370536199931235,0.021005224701764698,0.015486412379597985,0.025565715641330436,0.009768554634119807,0.005529681246145402,0.004573576709614588,0.0181432490674616,0.02735610000153042,0.01129563612535526,0.007885748025049334,0.007417997210706834,0.008731414860011742,0.005370936154904208,0.0018860428476427677,0.0027706348686112854,0.0016492085326912022,0.012362186161378876,0.010229288473350378,0.0029709598190492655,0.003308711648675103,0.0030262002656457503,0.0019118879559541207,0.0041277245077813015,0.0008506131546228861,234.97931682858038,292.80326880890965,0,1,1
5,1,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_2_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_2_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,33873,43739,229,320,38,91,136.02990582469815,200.94119209990257,33873.0,5.252331902738661e-10,75933096.70539962,-263269447.54256,-4.154216526330856e-09,15855200.572402818,-461716428.95105,67947625891.0709,115980522.85466306,310225004.41435474,195863899155.7033,704704459965.4509,1.2582053072974484,34814,0.6484088076918211,207.67388641525002,1,0.7744347150140607,0.7947828499849057,0.16726245706148418,0.0019820609366750785,0.00014132077314616857,2.978365936634847e-06,6.074776556756035e-11,1.215379816444191e-07,6.589040756796013e-12,3586.8593924495613,2078.821815594092,2241.699781696325,-468.07783699119705,-468.07783699119705,3423.9814263473286,239.56157930518194,243.01851781294363,88.60022573334675,31.903979747046147,28.635642126552707,187.18585259608332,182.3763938932489,nan,nan,0.0661795465915722,-0.0012467124795881317,nan,0.013818611784937769,-0.0021864581681514156,0.0017482893040921838,0.10108291046991198,0.001469070521071898,0.005039569160233235,9.851882026812738e-05,0.003897867773717059,0.0030315992875104615,-5.794167001483233e-05,0.0003057792219790579,19.18646397141014,731.8254685319159,0.9729706439937956,33873.0,3320567.0,401447967.0,53978065589.0,3724038.0,380922295.0,46782519267.0,6323673339037.0,525405700.0,55301975599.0,6805567339851.0,914537771524093.0,0.7302726658338272,0.0367057890565304,0.16611785511936325,0.07469879342979896,0.004361802948784588,0.019514962342676984,0.05037773049753154,0.003661375909731643,0.021583068308251695,0.015159596951277927,0.017555850546432418,0.0011325751649398238,0.003374606000160137,0.02273608140413581,0.010255762034976586,0.007898819439115874,0.007194800419396793,0.009848119670523521,0.0046460150286904405,0.0033718489768542435,0.004343344661498307,0.008617737533911774,0.006649640359075495,0.007569276509999469,0.004331905055901661,0.004982249480494284,0.007222391163940294,0.0075831988881016315,0.000775084153317965,0.002317679498340102,136.02990582469815,200.94119209990257,0,1,1
5,2,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_2_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_2_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,52652,80620,499,448,221,158,349.5879548735091,299.1919965053559,52652.0,1.3941985343990382e-09,210098185.6809805,2515154002.886128,-3.1241143005900085e-09,31652457.364183605,-977149904.1536312,234418898229.4617,265871144.10732695,-2721385775.46035,754663422184.7274,-20503170992437.44,1.8272582358065352,59492,0.5487586425812193,258.9181502123708,1,0.6530885636318532,0.5472680217848951,0.17169166947091885,0.0009262041813119986,0.00030085733016355223,3.2887799670927853e-06,2.9097259777899608e-11,8.835507584989839e-08,9.92741259222302e-11,5321.149918636296,3718.7598623465233,3990.317284832114,-601.1634385053484,-601.1634385053484,5049.592496150705,291.7848500148367,300.60106453570654,94.70480452437458,31.47943836181426,28.071337695236398,265.3646443959949,243.92654180622569,nan,nan,0.0757866232020078,0.003953915653166588,nan,0.011417675273595464,-0.0015361159981018445,0.0016060091029411424,0.09590504626891107,-0.004278119671221075,0.005170215946066857,-0.0006121656820786948,-0.00024816865457275375,0.002113318793758395,-0.00017150527727612246,0.0003123975978796706,24.309635790738124,1099.543289325507,0.8850265581926982,52652.0,6770413.0,1080691747.0,195511287637.0,7434041.0,987580586.0,159748124980.0,29032205872280.0,1315498235.0,175373989202.0,28017460313652.0,5001594025412288.0,0.7377688596595777,0.013666043594303581,0.15010160299113195,0.05229165771566868,0.006511922991883383,0.04268906460135251,0.042439366011408894,0.009533826935083659,0.005836139194418319,0.006452837895091661,0.021278532541890962,0.025338595235804624,0.004049208913818998,0.01714190651568752,0.009283553765430415,0.02141376950762465,0.0043579093865595666,0.01025658787946536,0.019219562612233163,0.004342566250976307,0.001889766129415997,0.0016516645257104155,0.0012836745164065612,0.00762772137785407,0.010787516494701613,0.00414227181795062,0.006499007052489425,0.002684035147559142,0.0021607343266065856,0.0059913601566230785,349.5879548735091,299.1919965053559,0,2,2
6,1,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_3_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_3_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,40181,51423,359,408,176,127,266.3056917448545,268.1488514472014,40181.0,-9.14610609470401e-11,83547192.18829799,78017036.31184815,3.942659532185644e-10,-8556628.342325956,34568309.92008489,-40673347467.523186,198672766.71949407,-189682507.84112102,277658282005.27466,-399631831632.96265,1.1865736866926249,40455,0.7641867327908489,226.18584868864713,1,0.7813818719250141,0.8427626629639262,0.174801937603138,0.005196997641270181,4.238228582918668e-06,1.230655549768928e-07,-8.479830196797373e-14,-8.666347975834926e-09,-2.6620379423225844e-14,4960.186588784586,2063.5300660471034,2079.271102966527,212.95210030427205,212.95210030427205,4944.445551865163,281.7143685021291,280.8629559055448,90.24411338142782,34.960120727992475,31.622776601683793,180.34568907397696,181.70437819918828,nan,nan,0.051747619595493545,0.00024106690712013385,nan,-0.005299820818403526,0.0001068135365139417,-0.0006269713471614854,0.12305431800764446,-0.0005861050055435818,0.004280045729169278,-3.073176333461003e-05,-0.00017017176891687285,-0.0011208076589891804,3.486797688302867e-05,-9.961658164401159e-05,-4.227512768746784,774.0386719675123,0.9932270423927821,40181.0,3628573.0,411227987.0,52303818835.0,5671502.0,503612283.0,56533501875.0,7141974812361.0,999198760.0,87628136179.0,9629982554603.0,1190609547996673.0,0.6485394453098201,0.022777329692716328,0.184985340730609,0.09449501179543139,0.008912471587550902,0.006182672439939978,0.02320555074533842,0.014993573930657898,0.027214633194222716,0.00881232547618479,0.002896032605524324,0.0016248922427273308,0.021590254117475022,0.027968264657888105,0.009918854444246,0.010636284218523178,0.005828502210719988,0.006207165169374868,0.0049848687580840295,0.0013179657492081174,0.0005121477046677728,0.0021702387134558527,0.013034828067617929,0.008756293933943534,0.004395875365363902,0.004176216206556758,0.0014389993293657402,0.002187347000484464,0.002478874560916406,0.00108714684906218,266.3056917448545,268.1488514472014,0,1,1
7,1,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_3_deconvolved_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_3_deconvolved_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,39902,50960,359,408,177,128,266.33274021352315,268.0162397874793,39902.0,2.859223968698643e-11,82428799.20818506,79382032.2760456,4.112393980904017e-09,-8529186.615658352,34289097.82603611,-40156143374.138885,195858931.47661793,-193321078.82547703,272278881436.69702,-414711110560.4553,1.1825528099190377,40169,0.7640376618940358,225.3992109880211,1,0.7830062794348509,0.8456281965694742,0.17478523015742925,0.005190280865478223,4.536435273830954e-06,1.3161351938242982e-07,-9.869659654506703e-14,-9.349475774892224e-09,-2.452060916145736e-14,4924.482068636751,2049.7981851049917,2065.781144007445,213.75336112621804,213.75336112621804,4908.499109734297,280.69861613158696,279.5084971874737,89.94442728707543,34.84057038355387,31.400636936215164,179.6880931247555,181.09878785259681,nan,nan,0.05177136845289571,0.00024959481111653603,nan,-0.005356958576668288,0.00010781256979519904,-0.0006320741121661272,0.12301386170453354,-0.0006078445810822415,0.004285780898882873,-3.267866796885058e-05,-0.00016500191934517127,-0.0011378311747015208,3.481197606293344e-05,-0.00010102217059901549,-4.276214075722162,770.0386719675123,0.9933530832233812,39902.0,3564555.0,400860265.0,50616508959.0,5586928.0,490566401.0,54637364859.0,6851969141135.0,978119582.0,84796332161.0,9242312335607.0,1134016311145115.0,0.6499882619416973,0.008896060180108375,0.1857686323366763,0.0955210389861398,0.004797105801096475,0.0011605525854455566,0.02349856193089116,0.01470586102673386,0.027504200152241344,0.003738702906096539,0.0013206257404171525,0.0014224670158810653,0.022981909349957745,0.029098643943505847,0.010709810965344341,0.010620238879191873,0.003222955042032044,0.001935653191120439,0.0020755521726229524,0.0007576132911364895,0.0004893520587277706,0.0023419865847823587,0.013609573537096485,0.009534654547025886,0.004439062825103493,0.0020930692222068175,0.0002108701731628028,0.0006529426740520493,0.00030906717191524533,0.0007512577053242903,266.33274021352315,268.0162397874793,0,1,1
8,1,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_4_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_4_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,20129,30589,287,224,118,43,203.13885438918973,127.13507874211336,20129.0,-5.612150744127575e-10,32168816.90198223,-121522709.15475619,6.548361852765083e-11,1302049.4549157936,-139481715.30970123,3620638129.2564116,34525955.720900185,83806887.10378873,29292219184.66102,30587574096.793476,1.3444858044663495,21419,0.31632262776978487,160.09072051800533,1,0.6580470103632025,0.743778771540781,0.16460665762536497,7.515122463717513e-05,0.0001793327569566939,4.4685387660329274e-06,1.492860124218883e-11,4.0402786085816295e-09,1.2561238699558705e-10,1743.9326609157015,1569.4347504252692,1598.132887971694,-64.68525286481164,-64.68525286481164,1715.234523369277,167.0416791541896,180.62391868188442,68.0,23.71892212860994,21.095023109728988,154.03610644416773,158.46436825609823,nan,nan,0.07939454955396165,-0.0021139852034999357,nan,0.0032135353402956753,-0.002426396550689131,0.000443934115589699,0.08521210807140332,0.001457888163628592,0.0035915810840982222,2.643427081086334e-05,0.004435892865765371,0.0004716369092512219,-0.00021056921992655,4.855536080506671e-05,23.92485626298221,583.1686142824235,0.9397730986507307,20129.0,1713760.0,178076380.0,20517328714.0,1693555.0,145489382.0,15064698536.0,1722535967552.0,177013339.0,15373615848.0,1568216233930.0,175257241919562.0,0.7855644075394358,0.05111172417585579,0.14066331665617368,0.019445775117045285,0.011933039183917889,0.03756603419058737,0.057453364247630874,0.010658687323725114,0.03217578094083132,0.016134500059443193,0.011444778473345317,0.006096769087955284,0.013780686095579465,0.001995256581744659,0.014760186202110169,0.014073144671844846,0.010357327706186824,0.016333947387730394,0.011022502326011574,0.004036222988668377,0.0028391931149920704,0.004516393060626679,0.006901087230896524,0.002817876762180628,0.010250443146033671,0.005511317004327708,0.0045427197334384755,0.003837323468281187,0.003960489591682662,0.003949623686821531,203.13885438918973,127.13507874211336,0,1,1
