ImageNumber,ObjectNumber,FileName_DNA,FileName_OverlayObjects,PathName_DNA,PathName_OverlayObjects,Children_FillObjects_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
1,1,Late_progeria_IF_Test_0.1um_C2_max_proj.tif,Late_progeria_IF_Test_0.1um_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,352.5549213597159,166.32201293759513,0,1
1,2,Late_progeria_IF_Test_0.1um_C2_max_proj.tif,Late_progeria_IF_Test_0.1um_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,200.46293245469522,278.46657742998354,0,2
2,1,Late_progeria_IF_Test_1_C2_max_proj.tif,Late_progeria_IF_Test_1_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,263.19965184594184,225.05338362225285,0,1
3,1,Late_progeria_IF_Test_2_C2_max_proj.tif,Late_progeria_IF_Test_2_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,234.68849930594828,304.17323016811474,0,1
4,1,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_1_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_1_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,234.97931682858038,292.80326880890965,0,1
5,1,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_2_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_2_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,136.02990582469815,200.94119209990257,0,1
5,2,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_2_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_2_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,349.5879548735091,299.1919965053559,0,2
6,1,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_3_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_3_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,266.3056917448545,268.1488514472014,0,1
7,1,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_3_deconvolved_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_3_deconvolved_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,266.33274021352315,268.0162397874793,0,1
8,1,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_4_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_4_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,203.13885438918973,127.13507874211336,0,1
8,2,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_4_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_4_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,329.3573153347104,223.30939981962587,0,2
8,3,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_4_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_4_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,227.50510204081633,414.22915451895045,0,3
9,1,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_5_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_5_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,186.55528598419787,206.02398230848505,0,1
9,2,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_5_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_5_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,330.09939869576266,347.50907602405215,0,2
10,1,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_5_deconvolved_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_5_deconvolved_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,187.331589958159,206.74005208778073,0,1
10,2,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_5_deconvolved_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_5_deconvolved_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,331.00326806754003,347.78869363300174,0,2
11,1,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_6_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_6_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,251.69736331652243,270.853878774096,0,1
12,1,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_7_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_7_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,274.35889396130165,262.3181973258818,0,1
12,2,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_7_C2_max_proj.tif,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_7_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_progeria_c2,1,168.018778280543,293.202036199095,0,2
