Channel_DNA,Count_IdentifyPrimaryObjects,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05RescaleIntensity,ExecutionTime_06Resize,ExecutionTime_07IdentifyPrimaryObjects,ExecutionTime_08MeasureObjectSizeShape,FileName_DNA,Frame_DNA,Group_Index,Group_Length,Group_Number,Height_DNA,ImageNumber,ImageSet_ImageSet,MD5Digest_DNA,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05RescaleIntensity,ModuleError_06Resize,ModuleError_07IdentifyPrimaryObjects,ModuleError_08MeasureObjectSizeShape,PathName_DNA,Scaling_DNA,Series_DNA,Threshold_FinalThreshold_IdentifyPrimaryObjects,Threshold_OrigThreshold_IdentifyPrimaryObjects,Threshold_SumOfEntropies_IdentifyPrimaryObjects,Threshold_WeightedVariance_IdentifyPrimaryObjects,URL_DNA,Width_DNA
-1,2.0,0.0,0.0,0.921875,0.0,0.5,0.203125,0.234375,0.53125,NP_LMNA_K9me2_Pol2_Well2_40X_F00_C2_max_proj.tif,0,1,95,1,2048,1,b'eLtbPbCZG01BdC1LjaCFqUG8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBBapNM',5e795972a7749da28db73f45896bd3d4,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F00_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,65535,0,0.05015263482928276,0.04916925,-11.964894677719645,0.08002861614903622,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F00_C2_max_proj.tif,2048
-1,1.0,0.0,0.0,0.234375,0.0,0.515625,0.203125,0.265625,0.484375,NP_LMNA_K9me2_Pol2_Well2_40X_F01_C2_max_proj.tif,0,2,95,1,2048,2,b'eLtbPbCZG01BdC1LjaCFqWG8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBBw5NN',1469279d5212206d5b8b9c7533cbb2a9,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F01_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,65535,0,0.16468468308448792,0.16145557,-11.836741644530202,0.07015291761553044,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F01_C2_max_proj.tif,2048
-1,2.0,0.0,0.0,0.21875,0.0,0.390625,0.1875,0.3125,0.5,NP_LMNA_K9me2_Pol2_Well2_40X_F02_C2_max_proj.tif,0,3,95,1,2048,3,b'eLtbPbCZG01BdC1LjaCFqVG8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBCHJNO',1411010e07ab4da429a231eabe86728a,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F02_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,65535,0,0.02579376261681318,0.025288003,-11.494301237031664,0.08442414030555767,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F02_C2_max_proj.tif,2048
-1,3.0,0.0,0.0,0.203125,0.0,0.4375,0.234375,0.265625,0.5625,NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.tif,0,4,95,1,2048,4,b'eLtbPbCZG01BdC1LjaCFqXG8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBCdZNP',c66fd997e3ecaee810c7cd5873714ad2,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,65535,0,0.02833189532160759,0.027776368,-12.392436036561676,0.11782705847969055,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.tif,2048
-1,5.0,0.0,0.0,0.15625,0.0,0.390625,0.1875,0.234375,0.5625,NP_LMNA_K9me2_Pol2_Well2_40X_F04_C2_max_proj.tif,0,5,95,1,2048,5,b'eLtbPbCZG01BdC1LjaCFqUm8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBCzpNQ',26c09470155bbf13ef991a124f0c58c4,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F04_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,65535,0,0.028361176550388337,0.027805075,-12.333486929543099,0.10146340234180684,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F04_C2_max_proj.tif,2048
-1,4.0,0.0,0.0,0.140625,0.0,0.40625,0.1875,0.28125,0.546875,NP_LMNA_K9me2_Pol2_Well2_40X_F05_C2_max_proj.tif,0,6,95,1,2048,6,b'eLtbPbCZG01BdC1LjaCFqWm8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBDJ5NR',843a5ff7e534c719a3040f9074b8c14d,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F05_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,65535,0,0.03089564435184002,0.030289847,-12.014582741721211,0.08047290069691826,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F05_C2_max_proj.tif,2048
-1,4.0,0.0,0.0,0.1875,0.0,0.40625,0.25,0.21875,0.609375,NP_LMNA_K9me2_Pol2_Well2_40X_F06_C2_max_proj.tif,0,7,95,1,2048,7,b'eLtbPbCZG01BdC1LjaCFqVm8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBDgJNS',2bf00dde1c1c07e0aec74049f44f6ed4,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F06_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,65535,0,0.029037734046578407,0.028468367,-12.22478243565486,0.06157432423590592,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F06_C2_max_proj.tif,2048
-1,2.0,0.0,0.0,0.171875,0.0,0.53125,0.1875,0.265625,0.5,NP_LMNA_K9me2_Pol2_Well2_40X_F07_C2_max_proj.tif,0,8,95,1,2048,8,b'eLtbPbCZG01BdC1LjaCFqXm8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBD2ZNT',9d0e6bc32ea5e9b7328b96c820d090b1,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F07_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,65535,0,0.1340285512804985,0.13140054,-12.078161325928265,0.12753143055624605,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F07_C2_max_proj.tif,2048
-1,3.0,0.0,0.0,0.15625,0.0,0.421875,0.21875,0.234375,0.484375,NP_LMNA_K9me2_Pol2_Well2_40X_F08_C2_max_proj.tif,0,9,95,1,2048,9,b'eLtbPbCZG01BdC1LjaCFqUW8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBEMpNU',6d335133b9f7907398d563cea0a66838,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F08_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,65535,0,0.0258553459122777,0.025348378,-12.313548474467218,0.12632397023418207,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F08_C2_max_proj.tif,2048
-1,2.0,0.0,0.0,0.171875,0.0,0.453125,0.1875,0.21875,0.5,NP_LMNA_K9me2_Pol2_Well2_40X_F09_C2_max_proj.tif,0,10,95,1,2048,10,b'eLtbPbCZG01BdC1LjaCFqWW8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBEi5NV',7c0dc1eb48095afae5b94d427da44bbf,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F09_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,65535,0,0.038806466460227965,0.038045555,-12.325972317318069,0.07150504061564789,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F09_C2_max_proj.tif,2048
