,ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number
0,1,1,19088,25875,381,279,256,72,319.0056580050293,176.32622590108969,1.283229421079933,19397,0.8339935119802565,155.89610780870953,1,0.7377004830917875,0.7792838782938949,210.5138416549614,210.64662351910604,56.32051136131489,22.748737815551,20.8806130178211,115.20744714680636,116.1561169052705,-13.568320492349836,554.8010819142764,0.984069701500232,0.5477237093190478,0.0421420038459521,0.1844486927447169,0.0928974954082369,0.0271459406745881,0.0115957662191338,0.0034239691927434,0.038404563681358,0.0296820011811463,0.004257459114948,0.0061937415676589,0.0059581668331086,0.0119123953590741,0.0150762573892075,0.0032993771338991,0.0126587396097438,0.013383666152661,0.0133146106344364,0.0053709988038936,0.0038629255268182,0.0061396999391677,0.0076525120273149,0.0152675243723914,0.0033122297772712,0.0063682319582677,0.0071878314078136,0.0075049845760031,0.0079978398176489,0.0035628032029725,0.0024944323580432,319.0056580050293,176.32622590108969,0,1
1,1,2,12386,18270,197,457,71,312,130.89811077022443,387.1852898433716,1.336963280689226,12833,0.7657605084785866,125.5800342454553,1,0.6779419813902573,0.7479636983631173,157.38353574599526,159.0125781188394,50.15974481593781,18.325241740742168,16.492422502470642,104.00628679223044,101.21741833257296,38.891077145151606,456.1736649163069,0.9651679264396478,0.62370357924025,0.0386597488134307,0.1870601765504586,0.087706267314639,0.0204626783368604,0.0020793024755118,0.0169918466483334,0.0173269863020462,0.0309400809574066,0.0135929720756554,0.0061905616554988,0.0014070999941817,0.019978309165193,0.0239465166053271,0.007937188614621,0.0134718563535437,0.0146321366093297,0.0052501604285605,0.0059893543265686,0.0021059698304382,0.0011289627077834,0.0029133787242721,0.0106228116852068,0.0057558949277571,0.006775835312198,0.006196057941198,0.0029661899197089,0.003399424876281,0.0032631535620109,0.001973673649849,130.89811077022443,387.1852898433716,0,2
2,2,1,14256,20770,190,469,56,314,123.16919191919192,392.641975308642,1.216343271795692,14399,0.8040452678492134,134.726771466344,1,0.6863745787193067,0.82213633534857,174.85812860966578,174.7483905505284,52.32590180780452,20.360986037419707,18.43908891458577,103.94469683442249,103.96506260777356,37.67864059051805,466.8010819142765,0.9900687547746372,0.5944036070912164,0.0033161623364395,0.1915952470073499,0.096207726735731,0.0035255297179299,0.0034027838223447,0.0055444480317142,0.0286918322081152,0.0307663184380456,0.0006958763735107,0.0023927616602739,0.0033419417718533,0.0220101122064811,0.0264816915285138,0.0018251385334113,0.0117681989357471,0.0022483499662997,0.001232064445317,0.0016846130613167,0.0030853740573283,0.0108944989786154,0.0095262074551849,0.017339664812785,0.0070015784392338,0.0047777849762966,0.0008731264814,0.0012945208167117,0.0002777680722732,0.0017818964741193,0.0020615621456914,123.16919191919192,392.641975308642,0,1
3,3,1,15001,19803,490,173,329,50,408.51089927338177,109.11559229384709,1.1482404838435338,15155,0.673701567190631,138.2022663004199,1,0.7575114881583599,0.8708977031123961,160.87301553818688,162.8066337714775,60.00833275470999,22.15413070728017,19.79898987322333,119.94158834776458,118.88572429777103,-78.30356204105131,465.2447327281724,0.989838337182448,0.7204904524063498,0.0167686465778473,0.1759968547342155,0.0797132072288084,0.0046692050722548,0.0036131646183828,0.0522498212361477,0.0037866762137239,0.0218251896185266,0.0074828220207641,0.0059466020058085,0.00219243302324,0.0126393870013094,0.0261171813042156,0.0111185783432436,0.0075889883719335,0.0020742155484602,0.0033854346637538,0.0013171384938376,0.000895984399276,0.012932670445627,0.0123947205208605,0.0054192277790577,0.0087014034998404,0.0032071779426705,0.0049344989709449,0.0033976663061261,0.0026772219132137,0.0018258467539699,0.0015392637788868,408.51089927338177,109.11559229384709,0,1
4,3,2,16409,21168,437,406,325,217,381.01194466451335,313.48924370772136,1.2504732559738974,16615,0.823933119107216,144.54268466290256,1,0.7751795162509448,0.7996972308065693,192.3870713892598,188.2153022471871,52.172789842982326,21.40024257098852,19.6468827043885,104.73648308290412,109.0232623851554,6.607195472506301,507.7888886054567,0.9876015648510382,0.5896977053061345,0.0221625704851772,0.1811319284435841,0.1046949093832801,0.0084735907225047,0.0097211438570365,0.0012015590338,0.0323755938402347,0.0294021965048363,0.0020251082403082,0.0054643721077601,0.0059823519681297,0.0164285000697131,0.0214279791763272,0.0068638833104651,0.009915322786466,0.0035762935566249,0.0065109704982937,0.004971653102586,0.0039967855924535,0.0112814541709445,0.0116027103857695,0.0176902415319086,0.0097750166359366,0.0041987178517931,0.0022387725605726,0.0021341063755005,0.0034343733104504,0.003787134320753,0.0028258048077192,381.01194466451335,313.48924370772136,0,2
5,4,1,8095,11180,436,221,350,91,392.6308832612724,158.4630018529957,1.253016409984152,8303,0.781528388485194,101.52277633433368,1,0.7240608228980322,0.7980741449448758,128.85713289172529,132.4424403278647,39.01281840626232,15.271770599287624,13.892443989449804,81.88473856644251,80.39005830092715,12.177575590855676,357.0193359837561,0.9749488136818018,0.5874614841807735,0.030543988292379,0.1981071620485955,0.0854703965065862,0.0073872554706387,0.0105018313874304,0.0086982045357693,0.0282078069794501,0.0250778180236019,0.0100822438583487,0.0088275903685526,0.0024046625710492,0.0236564937701748,0.0244726785966491,0.0021329811534545,0.012638571557062,0.0053232322864769,0.0052204935169318,0.0086333450507743,0.0018780382573905,0.0077174091370753,0.0098107080142992,0.0149800932613174,0.0039926831617728,0.0074882141531146,0.0032546216482203,0.0047888948307076,0.0065986471102724,0.004485711536805,0.0013372100389264,392.6308832612724,158.4630018529957,0,1
6,4,2,26479,44400,234,349,34,127,136.492541259111,225.80833868348503,2.436269642954707,31607,0.7163869525868392,183.61402426024645,1,0.5963738738738739,0.4104635966268496,244.6928584864208,254.6212874054328,48.0936586256442,17.717988108094602,16.76305461424021,175.18776931187816,170.72298667839496,46.8546856840246,900.3645737753169,0.8377574587907742,0.5200226725234818,0.0947517732611114,0.1284717761111395,0.062187051790572,0.0437887892078617,0.0199261525905134,0.0356445310098306,0.0225742478578845,0.0286192837961443,0.0103544134032995,0.0248050177161429,0.0067852186488979,0.0197480123166168,0.0325670407855209,0.0186099914598696,0.0194512625872919,0.0091121933990365,0.0063533555611956,0.0100061084699937,0.0011229395512243,0.0137636506843555,0.0095577732872551,0.0031309040224893,0.0071370094464157,0.0129879029884522,0.0063060045150412,0.0124086368694715,0.0106335354042501,0.0032385468833216,0.0027807917802451,136.492541259111,225.80833868348503,0,2
7,4,3,17288,28215,397,466,232,295,314.7270360944007,378.1987505784359,1.3408208978262022,17582,0.8671379973418131,148.3636250884343,1,0.6127237285132022,0.7458117647340103,210.61370619590093,207.21245136332905,53.03772242470448,20.849367155951555,19.235384061671343,106.77312395916869,104.89993915952668,42.46555731905627,539.7127701597078,0.9832783528608804,0.5126526131164613,0.0294982232981886,0.1787557945074222,0.0982771069281487,0.0184138668036236,0.0153573174109882,0.021011021272233,0.0432871594577928,0.0346826876492826,0.0012704398310111,0.0099080576178075,0.0073155226135027,0.0062973392215721,0.0119138487420863,0.0081924223299427,0.0144164553099827,0.0076100779563502,0.0080647111047834,0.002682202907297,0.0030012204978609,0.0150441374234178,0.0114854987113452,0.0119269682954856,0.0033725012582961,0.0068506488152851,0.0059939456946689,0.0063349919733035,0.0083516252605917,0.0035296240125819,0.0010181547816195,314.7270360944007,378.1987505784359,0,3
8,8,1,11450,15660,139,449,23,314,79.89065502183406,381.7025327510917,1.129316937553532,11571,0.5741143684618608,120.74184356393442,1,0.731162196679438,0.8854910138568589,133.6399417555388,135.79396157414365,54.12023651093924,19.707750294615646,17.4928556845359,107.76470588235294,109.42105892287526,20.85531616829172,403.10259710444143,0.9895428225736757,0.790520487139259,0.032575927474608,0.1484683243901141,0.06263478282151,0.0107684201521182,0.005351168726219,0.0664536408917484,0.0146180759730418,0.0186689025552376,0.0116284128783074,0.006404780488646,0.0028350640327342,0.0082255790952962,0.0147279897854668,0.0106895757967502,0.009414535748401,0.0098637434219877,0.0064791500455686,0.0025147735554601,0.0024413395147102,0.0106282917999483,0.0145279104923557,0.0032579476963003,0.0064773880944251,0.0032208975678681,0.0050845173236557,0.0065357865604694,0.0027448435190282,0.0019445958766871,0.0026479818291896,79.89065502183406,381.7025327510917,0,1
9,8,2,17684,37720,378,467,173,283,269.88922189549874,385.6166025786021,2.7786713744317457,24118,0.6822077011225087,150.05321758994913,1,0.4688229056203605,0.3598842271171796,209.8248854220946,205.40691322348428,41.04875150354759,14.3305443747203,13.0,175.63468419245774,153.41523419747782,-65.27016972699202,785.8031739553295,0.7332282942200846,0.4668523499040144,0.0313784978673185,0.1356700488279194,0.0489233654362861,0.0308963113517872,0.0687002464336116,0.0001636125859596,0.0435939180846368,0.0185485839899235,0.0171715583084193,0.0380427321371334,0.0112683637164738,0.0061630253947708,0.0238007011577096,0.0180904543612005,0.0192684316579358,0.0133171313590786,0.0029957419696049,0.0028768875604373,0.0075927051198219,0.0029391273587418,0.008240360346182,0.0114129387076241,0.0136781646055281,0.0087450872483365,0.005331610999035,0.0051386239299125,0.0078980832643391,0.008337241350263,0.0072132732211521,269.88922189549874,385.6166025786021,0,2
