ImageNumber,ObjectNumber,FileName_DNA,PathName_DNA,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_IdentifyPrimaryObjects
1,1,Late_progeria_IF_Test_0.1um_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,93,120,226,72,214,62,219.56989247311827,66.59139784946237,93.0,-2.1316282072803006e-14,848.7956989247313,-47.38004393571589,-3.375077994860476e-14,78.65591397849462,70.51046363741438,1262.436511399789,566.4731182795698,35.60053185339315,3374.57578537888,1295.596389761718,0.963510823062184,97,0.609765474041817,10.881694613449236,1,0.775,1.0378710607752675,0.16363380936574182,0.0013963340698371104,1.2896372332251912e-05,1.115261238263871e-07,-9.609602337250303e-14,-3.893048975007286e-09,-9.303236392455695e-14,9.346563382752818,5.871380888261173,9.126835472308938,-0.8457625158977916,-0.8457625158977916,6.091108798705052,12.228859886516203,11.704699910719626,5.0,2.1264747513934137,2.0,9.0,9.692372991800243,nan,nan,0.0981380158312789,-0.0005680519927800047,nan,0.009094220601051523,0.0008453687682396215,0.0015694977620631001,0.06549579353446291,0.0004268242783984335,0.0041953706940809615,0.00016702420343827853,-0.00054274547680794,0.0012685697804945089,6.4802718835258425e-06,0.00015312453249261002,75.4365934855335,33.55634918610404,0.9587628865979382,93.0,518.0,3734.0,30206.0,427.0,2457.0,18091.0,148449.0,2527.0,14833.0,108755.0,885289.0,0.8643158953311688,0.06122167356680941,0.08757804103857939,0.0834268619332429,0.02002309848452323,0.00497308381354533,0.02652639122322279,0.04017036639234806,0.02234310588628473,0.014204935395107586,0.009950212156196738,0.020820439794008085,0.009836259211595744,0.012638952757667873,0.021844884079818903,0.01913958563423839,0.02069003070267699,0.003418733426684427,0.00301559889864209,0.004349886821566433,0.012159407693791865,0.0077715169306246815,0.02279134581558831,0.019476628305846184,0.008034667007688819,0.009781256107116044,0.006748655116594421,0.007838311676602944,0.012355681774184491,0.006079379106864237,219.56989247311827,66.59139784946237,0,1,1
1,2,Late_progeria_IF_Test_0.1um_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,381,608,312,89,274,73,291.2309711286089,79.1233595800525,381.0,-8.277822871605167e-13,33449.67454068242,78761.57816493405,-1.7053025658242404e-13,-6040.855643044621,-26668.318653081747,-954960.1374770029,5875.202099737529,-4227.946376781648,406006.367723983,1391046.244701574,1.8812597409474385,429,0.9312401171006532,22.025082668269306,1,0.6266447368421053,0.5315587094296617,0.2709052475556103,0.043011175805270356,0.002032243250141111,0.0007300706525899852,8.863353769870626e-07,0.00015123535470945977,7.222423899855175e-08,91.11550355683679,12.099395761850754,87.79442136662053,15.855264154972758,15.855264154972758,15.420477952067007,38.181776502795,37.48332962798263,7.0710678118654755,2.8239362565267467,2.8284271247461903,14.512594000225619,13.91367428789434,nan,nan,0.23043155214336095,0.027797258795678972,nan,-0.041614866548484925,-0.00941202769823863,-0.017266738681501328,0.04047369541224936,-0.0014921656262847321,0.007341045536242996,0.0012885585390870309,0.0032384771850028594,-0.0034008631757369446,-8.038319152105309e-05,-0.001081880347004835,-78.1697235169973,94.90559159102153,0.8881118881118881,381.0,6565.0,146571.0,3757063.0,2333.0,34159.0,662659.0,15291619.0,20161.0,269185.0,4624329.0,95069317.0,0.34526994060078076,0.031222729892443523,0.13670768847717857,0.07914665454649757,0.023938096559851983,0.008057476121839423,0.042215734667099596,0.053067616687102394,0.03407349467339409,0.0028710383031654357,0.014948586658816897,0.002382990114804645,0.012413841015741308,0.020642945868604115,0.01815919463155092,0.020837559230456004,0.005998655795768699,0.011185661250939423,0.008298773324346467,0.0020437655693419958,0.007375386195057772,0.0005611918972479227,0.006913369535347314,0.00721390028917466,0.01530690066980782,0.0055113485833904975,0.011824152661065289,0.005796238603016643,0.004909960529339141,0.0017515851204306491,291.2309711286089,79.1233595800525,0,2,2
1,3,Late_progeria_IF_Test_0.1um_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,13873,30504,466,238,280,74,389.8156851438045,152.3897498738557,13873.0,-1.1937117960769683e-11,19982199.7069127,-232119651.3373352,5.26142684975639e-10,14461306.590427447,-251911170.2123221,52035970917.667046,24221929.622432083,-174437816.94268614,48407997717.54646,-1460905001391.3098,2.8752964981212137,17162,0.892253122760063,132.9046733719733,1,0.4547928140571728,0.3477902194272568,0.2296794123490626,0.023068900432263773,0.001349271704280841,0.0004224156370110617,2.940638733479691e-07,4.924234178616567e-05,-1.2339395570588282e-07,2646.7180572756015,539.6244302429435,1440.366157782217,-1042.4065876470445,-1042.4065876470445,1745.9763297363281,205.7850551337721,218.577217477028,44.91102314577124,15.68089591484829,14.0,104.73466704876354,92.91927078861035,nan,nan,0.10382513931970139,-0.010239669605331644,nan,0.07513923359381852,-0.011112747835028925,0.019489132285874428,0.12585427302936122,-0.007695107251271018,0.018130340504346407,-0.0046454268301395945,0.0010748488459510228,0.018146178839052434,-0.0036804795384634712,0.004890187711414512,40.830239179184936,707.9970414071696,0.808355669502389,13873.0,1523473.0,187283431.0,24723256543.0,1087501.0,133885974.0,17605346724.0,2430282190998.0,109470861.0,14114416200.0,1911509563310.0,269348856043620.0,0.3696648050280778,0.06720017284810005,0.14808074879362298,0.06624068193463813,0.051779168586480274,0.019285008681379848,0.024000406223226203,0.04152814078149305,0.024672672176434318,0.02681406054861128,0.012491687471838455,0.009278544743508524,0.00016223629711538892,0.010280736692368382,0.019935533342594375,0.010438539655761333,0.0038874095166687834,0.008012016917816145,0.007055445845830903,0.0050032527132607444,0.0042247768507078075,0.0074969174538303115,0.013717197855020045,0.008309481710176831,0.004725884744176513,0.008085039657021325,0.0030771518481530038,0.004190899923542147,0.0060466948880014155,0.0027223735388563703,389.8156851438045,152.3897498738557,0,3,3
1,4,Late_progeria_IF_Test_0.1um_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,55616,89205,338,391,53,78,213.12710371116225,259.5790420023015,55616.0,4.745288606500253e-10,274480450.50386584,-3723060970.903778,-5.866922947461717e-09,-34091336.24791492,501282865.7917759,-214069031768.44592,291114712.53135794,6727576369.705114,1221522111096.5322,38632622843935.31,2.6558585731276443,66876,0.4698688226847358,266.10616400224706,1,0.623462810380584,0.37652607338287614,0.18285472448973986,0.0005148230448284577,0.001242162185609811,0.00012138529332255245,4.708764294987095e-08,2.3258665822451933e-06,-2.0996143655481576e-09,5715.779698599407,4453.868658621961,4935.27852603326,612.977133341393,612.977133341393,5234.369831188109,302.41110293372253,331.602171283603,104.17293314484334,33.53201037541958,26.92582403567252,282.49833685302383,266.94924337400056,nan,nan,0.08873846601757159,-0.005103883731697299,nan,-0.011021596902714922,0.0006872005276540419,-0.0012443845015597638,0.09411625847216827,0.009222725025304598,0.007100714992747237,0.0009522589600243807,-0.010905832516361132,-0.004551193337144051,-0.000932306453846381,-0.00041271962005618026,-38.14479764319627,1362.4082963767125,0.8316286859261918,55616.0,8905629.0,1700513029.0,356478684315.0,10098700.0,1582984246.0,298360915714.0,62133419794654.0,2124826984.0,334589422852.0,63125089655636.0,1.3148991304472308e+16,0.6217568229503263,0.0895124714994049,0.15183568622480564,0.035181067407787425,0.03072924680044063,0.047104646032960926,0.016005048753303622,0.014904091484796114,0.023794669190151888,0.017830001344511657,0.0144004769975412,0.010042690320169188,0.006617841208219549,0.030566557173584877,0.012438453716245287,0.01871214076762828,0.0036478996708374967,0.020019826688643966,0.007471229346112573,0.010200435751989687,0.002026513773006253,0.0014348790642749482,0.0005865047831325666,0.009257598324152115,0.0049902204132103,0.001817721941310645,0.009175039562570955,0.005730598085207913,0.007177072610045889,0.003934927125568625,213.12710371116225,259.5790420023015,0,4,4
1,5,Late_progeria_IF_Test_0.1um_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,8532,21756,444,270,296,123,357.89510079699954,211.43917018284108,8532.0,-2.823696831910638e-11,9272981.115213314,190182987.83371222,-4.3992542941850843e-10,7162174.057313656,51786795.657476515,16239819468.07768,12852883.429324893,-116276083.73353364,15961319395.078295,872932847.3005838,4.485413061797221,12805,0.8946878458957718,104.22705884596576,1,0.3921676778819636,0.2229449074639558,0.30394748608831024,0.04113944085562074,0.01006013213437012,0.000989677727342721,-1.290346850998989e-06,-9.072035923845619e-05,2.843731965913946e-06,2161.9067819661786,431.3731693392839,1086.847294328799,-839.448436159594,-839.448436159594,1506.4326569766636,185.98523734818002,178.10390225932727,25.709920264364882,8.97135761767354,8.06225774829855,97.63703422242764,83.07810005909224,nan,nan,0.1273848211824659,0.028284242303591885,nan,0.09838823677444844,0.007701794430653178,0.026147408789379916,0.1765626649058443,-0.017292718785696923,0.025699001387382545,1.5216083120271235e-05,-0.03717829588686882,0.03098543047086495,-0.004491088435103258,0.0068292706129287105,37.98410829756122,693.4762261269984,0.6663022256930886,8532.0,528089.0,41959103.0,3935150099.0,754563.0,53865927.0,4649222017.0,456192217281.0,79585809.0,6076529047.0,544971024141.0,54587770926049.0,0.34227968668709147,0.07470127565417807,0.08593465639495236,0.06602996651913404,0.06783869266604516,0.009697450473983597,0.01805856699404294,0.03726067443174556,0.031036897767338218,0.026854290105627527,0.033961888190489765,0.005395283669941007,0.003619211616327325,0.007909620555042003,0.02073873218317247,0.0135111037858385,0.007073942809338277,0.01935141111811793,0.011115168570501911,0.00213169895112216,0.0016027436829834185,0.009369515862954045,0.00490549437843014,0.008572850563878194,0.0073094293019715685,0.010185777176410489,0.0019797273677740054,0.007358982877409376,0.00425094725448688,0.0015603254108812058,357.89510079699954,211.43917018284108,0,5,5
1,6,Late_progeria_IF_Test_0.1um_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,1,1,60,276,59,275,59.0,275.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,59.0,275.0,0,6,6
2,1,Late_progeria_IF_Test_1_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,67590,113730,487,352,41,97,263.0902944222518,225.02895398727622,67590.0,1.128682924900204e-09,869996973.9331402,-389843953.1246413,-4.892172000836581e-09,305175275.29381573,-669860117.6056768,7569019272809.25,259741406.33704707,-350591401.4121681,4008885104428.7085,-14677581043510.885,1.6411732796610228,69514,0.9306992308990812,293.3568830429067,1,0.594302294908995,0.6093201811124695,0.2472936645634148,0.035693678386710864,3.0218754529866207e-06,7.600232511826316e-07,1.0493764535051529e-12,1.0382338504487924e-07,4.748279811743921e-13,14742.101244332578,1972.4775435086258,12871.68181584761,-4515.095062787627,-4515.095062787627,3842.8969719935935,485.66821999109766,479.6675932351486,87.09190547921202,36.064812359304575,33.95585369269929,180.61407448601292,177.6503326654302,nan,nan,0.19043766556957556,-0.0003282348471384288,nan,0.06680122892125503,-0.0005639985731319826,0.024512763307602974,0.056855998993839245,-0.0002951855842016311,0.012983036262736792,-0.00018283777369068873,-4.540295047163066e-05,0.007743521087929245,-0.00012152739257588944,0.002700905312684843,67.49777072863694,1180.655987697715,0.9723221221624421,67590.0,15011083.0,4203812817.0,1319671950445.0,8653477.0,2227028530.0,673092831082.0,221236416762232.0,1367637015.0,381530858480.0,120108979910852.0,4.046780623271125e+16,0.3740346261909921,0.005505408357523082,0.1564941139477903,0.08298225274197461,0.005106786954063654,0.002935043536268219,0.04286222946279361,0.06065324313461086,0.0345849055173934,0.002799335921655772,0.003126071413964305,0.0018315587470719872,0.01613640028428083,0.013709966502192968,0.02542522532004938,0.01780172077336654,0.0009801011091052898,0.0008479690005579342,0.001789801534035197,0.001260751863106226,0.0018428776321084814,0.001371073752381202,0.0003677993982757701,0.010264792947165759,0.010381609856785712,0.0010955640197767961,0.0007601330488837377,0.0007290268152990336,0.0009642047127007079,0.0008898263098808713,263.0902944222518,225.02895398727622,0,1,1
2,2,Late_progeria_IF_Test_1_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,61,81,19,164,10,155,14.032786885245901,158.9016393442623,61.0,1.7763568394002505e-14,327.9344262295082,23.742004837409702,1.4654943925052066e-14,42.1967213114754,-18.50470303681798,337.19224957155,273.40983606557376,-16.682612201021048,968.5307492697626,98.23866704810618,0.9319458815147231,65,0.5350951080913084,8.812923024107548,1,0.7530864197530864,1.073023680704148,0.16160824033729693,0.000729113102649258,1.1334484442709401e-05,1.7198219622315624e-07,-1.2506282060882464e-13,-4.494427598986292e-09,-2.0497882230620536e-13,5.752615209861858,4.105487450713258,5.375974200483742,-0.6917495296963181,-0.6917495296963181,4.482128460091374,9.59384403447282,8.94427190999916,4.123105625617661,1.8285489361860408,1.4142135623730951,7.155417527999327,8.104800997644059,nan,nan,0.08813072459809411,0.0008169449671415376,nan,0.011340156224529803,-0.0006367332547484437,0.0014855527536293787,0.07347751573920283,-0.0005740364459417354,0.0042670124339471704,5.5415089446280146e-05,0.0003006117788625946,0.0019658613753526723,-7.160538878111498e-05,0.00019272563387377593,61.43276909711072,26.727922061357855,0.9384615384615385,61.0,246.0,1320.0,7992.0,238.0,1002.0,5472.0,33354.0,1202.0,5160.0,27886.0,167544.0,0.9708451528605614,0.02250790790392765,0.012732395447351665,0.07946598499048946,0.02250790790392764,0.02250790790392764,0.011618310845708366,0.05568148901974096,0.02117792605442717,0.02250790790392762,0.022507907903927617,0.022507907903927638,0.030955636431373494,0.031599427635134444,0.011750682787389236,0.028803976022289613,0.022507907903927548,0.022507907903927593,0.022507907903927624,0.02250790790392764,0.035780020643846756,0.01517121955210296,0.038581894478612926,0.03030589528552897,0.03246796399148263,0.022507907903928138,0.022507907903927565,0.022507907903927562,0.022507907903927607,0.022507907903927638,14.032786885245901,158.9016393442623,0,2,2
3,1,Late_progeria_IF_Test_2_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,38073,55390,379,400,89,209,234.80432327371102,304.46140309405615,38073.0,4.274511411495041e-09,191929650.20838904,185565334.14759445,-4.501998773775995e-11,-27631600.546949323,1648266920.6488757,-251723654706.72952,80093427.53184663,-599792176.2796602,305291160085.4302,-4897593361074.266,1.5757114657889884,41130,0.7929730634168984,220.17277122001678,1,0.6873623397725221,0.6346339553347612,0.18765993102709483,0.007405923354369555,0.0003978793015854031,2.3660772585875883e-05,-6.648230814019854e-10,-9.765517387924613e-07,-2.1973492968942075e-09,5210.625199167374,1934.151354827207,5041.0960577939495,725.7531727720254,725.7531727720254,2103.6804962006313,288.7386416582962,290.3532331488665,75.23961722390672,28.14621286865359,25.96150997149434,180.43745286632472,175.91595060492756,nan,nan,0.1324060635566924,0.0006560759242401559,nan,-0.019062148314344166,0.005827533727280523,-0.004561132956246936,0.05525386747040242,-0.0021205965446741484,0.005531754944281319,-0.00045480253597361225,-0.0011890046567453916,-0.0022103777247344486,0.0004991578091943934,-0.0003958698142772611,-76.8519976165129,868.2640687119285,0.925674690007294,38073.0,5551208.0,1001319776.0,202150663184.0,3634502.0,502294504.0,89178044046.0,18004583262640.0,427048088.0,56390162584.0,9734300776110.0,1933959644841376.0,0.5750079969954551,0.01870384197430032,0.18393971841214365,0.08907203827785395,0.025208182779922303,0.0193351797841203,0.010574259619132696,0.03333980190252786,0.025521356920615745,0.009216700314055597,0.019535002920100318,0.009116658696302843,0.014679962861798942,0.015169952988926743,0.007770677433808752,0.012995119681234884,0.01157401803044909,0.008271699478723426,0.007312134181325631,0.0027782315794704715,0.0016250119250262338,0.0045149025046999055,0.02017730150081892,0.0019845461344190833,0.008021314794113209,0.009105078950132774,0.003833535709955866,0.005527516437638513,0.00466667899907897,0.000865300520132067,234.80432327371102,304.46140309405615,0,1,1
4,1,PostEX_P22progeria_IF_DAPI_LMNA_Nup_LMNB1_0.2_1_C2_max_proj.tif,\\imaging_storage\shared\users\Amulya\converted_v2\progeria\c2,135,192,314,75,298,63,305.5111111111111,68.52592592592593,135.0,3.730349362740526e-14,1817.7333333333333,-756.2162962962972,1.2434497875801753e-14,-87.28888888888886,21.687901234567775,-4645.468378600823,1195.6592592592594,434.614979423868,9928.885991769546,4521.026171051166,1.0711108099442426,145,0.5942322516167382,13.110581167104948,1,0.703125,0.9336102210116389,0.1653439008281258,0.0012568200169093269,9.465461402944138e-05,2.3995366135687405e-06,3.017707649864567e-11,8.442848528875457e-08,-1.9927158731673893e-11,13.553700184684732,8.767726427112251,13.464691358024691,0.6465843621399175,0.6465843621399175,8.856735253772293,14.726140124111128,15.524174696260024,5.830951894845301,2.437040980487006,2.23606797749979,11.0,11.844138754413342,nan,nan,0.0997384545038866,-0.003571178932097196,nan,-0.004789513793629019,0.00010241960712778207,-0.001888113957669389,0.0656054463242392,0.0020524390517554277,0.004035517346652257,0.0001581498671114864,0.00020248331091042283,-3.351098709701972e-05,2.494894392497047e-05,-5.838565834915064e-05,-82.16192443107805,42.62741699796952,0.9310344827586207,135.0,1014.0,9434.0,97410.0,746.0,5516.0,50842.0,519350.0,5318.0,39414.0,357736.0,3573756.0,0.7132254711172072,0.043572629990737854,0.17942985956952046,0.054135307019275374,0.007859386655798028,0.027595603688647996,0.048814552837075975,0.01769710628147566,0.02845218822309544,0.02474076685620184,0.003920051753540222,0.015034232625659274,0.02397196217253668,0.003847228193589128,0.010112717661815934,0.020173844232908376,0.009845130884858718,0.010133124959184303,0.007205268723031657,0.008328365380025963,0.030007100760734744,0.005903475538803486,0.007313640657872703,0.006885660633574154,0.0130485473137505,0.010184185735019483,0.007881603316988072,0.005942553022382932,0.005893280226340966,0.007296405123877444,305.5111111111111,68.52592592592593,0,1,1
