ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_IdentifyPrimaryObjects
1,1,19935,26880,382,280,254,70,318.98916478555304,176.26280411336845,19935.0,8.390088623855263e-11,19885385.65959367,-43860040.720694765,-3.338982423883863e-10,-8938650.234311515,-19590229.146638088,-18485551007.409054,54878934.16925007,153187393.03767818,43475928911.356384,216759454637.86176,1.2681228887946376,20227,0.8300811030565973,159.31738864384977,1,0.7416294642857143,0.7885671087843144,0.18813166827515168,0.009777402362703544,8.06115577393337e-05,6.803061721097884e-06,8.640937805039209e-11,2.3441992214604726e-07,1.3384515539960282e-10,2860.796261120903,889.6085459442457,997.511194361358,448.38977849568676,448.38977849568676,2752.893612703791,213.9456477190748,213.78961621182634,58.034472514187634,23.374754006436234,21.37755832643195,118.34531641774912,119.30522509558385,nan,nan,0.05003818381546817,-0.0007816789745674803,nan,-0.02249258984177009,-0.0003491394439964727,-0.0023333703785432887,0.1380934844596835,0.0027301243304559577,0.0054878236878496715,0.000193785469580138,-0.0013848220366064004,-0.006147511274989476,-0.00023189356338014155,-0.000500454574238063,-13.530657954440132,563.6295090390225,0.9855638502991052,19935.0,1295559.0,104082683.0,9305055807.0,2118349.0,128731082.0,9878696700.0,853216691072.0,279980639.0,16449203200.0,1219370070586.0,101957467228582.0,0.5553325673717995,0.03005857518360576,0.1875361856102954,0.09506119369217599,0.01958024691538539,0.004868311240598533,0.0031198286759671523,0.0383348002996932,0.030445103952087268,0.004045094158708022,0.00663020205562236,0.0028666241735485288,0.014389356885263039,0.01775870306796542,0.0013181031753741928,0.013090328002353626,0.010583756169503925,0.0098068054524193,0.004877142110919777,0.002399657391724933,0.008721870371478025,0.010129045856714309,0.017599151905589718,0.0046134568272059836,0.006642956209129169,0.006026816250749533,0.005600707478872198,0.00450572482297687,0.0025639249965469747,0.0018822441400550035,318.98916478555304,176.26280411336845,0,1,1
1,2,13082,19370,199,459,69,310,130.90009172909342,387.1838403913775,13082.0,-1.3088197192701045e-10,13699018.419889927,37099121.77637897,-4.6415493670792785e-10,5968235.27939154,24269688.220556967,11905292596.187037,16382086.863858735,-25115188.273724917,15185095296.903835,17345329441.84952,1.28485205269416,13488,0.7604231927712826,129.06013995120801,1,0.6753742901393908,0.7782997255622826,0.1757703024813289,0.005110482801036318,7.595997461591371e-05,2.9185771747055953e-06,-1.06838112321179e-11,-1.0220614392500286e-07,4.212214564722874e-11,1617.314207638468,682.112889422277,1047.1654502285528,-456.21734286741633,-456.21734286741633,1252.2616468321921,160.86338092373754,162.1141573089778,51.92301994298868,19.149436444139752,17.26267650163207,107.054660940963,104.469164018654,nan,nan,0.08004628116714209,0.0018953013282852543,nan,0.03487366938292435,0.001239877660683003,0.005317624162404006,0.09572402131418682,-0.0012830721433851452,0.006782582536869779,6.773654578261241e-05,-0.0028347922665043126,0.007074465944918107,-6.105871794739172e-05,0.0008596316168440719,38.66583344414633,459.58787847868,0.9698991696322657,13082.0,809777.0,63824289.0,5683769459.0,1009719.0,68469934.0,5689342046.0,523711388386.0,94316077.0,6734361268.0,572872998248.0,53417927553220.0,0.6336354373652431,0.04233641252767734,0.18465057391960585,0.08785628706880137,0.02064959827317144,0.002557695034925011,0.01976330447057635,0.01575134107537916,0.03032535105699779,0.015605303659393333,0.007151476452526384,0.001179498426224277,0.018549301511893025,0.023518764576648872,0.007554968028472719,0.0129502817838192,0.014271442537170954,0.006026092388844085,0.006638401806329722,0.0024709779141736114,7.085423072496338e-05,0.002385386405527891,0.010232396938727004,0.006246557976421325,0.00613568907082414,0.007794089437854296,0.0029752807094625285,0.0032883201532000676,0.0033659278463780604,0.002341151136248701,130.90009172909342,387.1838403913775,0,2,2
2,1,9953,14740,477,187,367,53,417.56013262332965,123.27278207575606,9953.0,8.537881512893364e-11,6753056.260624938,12494532.49553218,-1.3065459825156722e-10,-1948712.7600723393,14607396.64903106,-2841625370.68405,9968246.396664325,-23171947.01675951,4784347809.939869,-28099551539.217228,1.203220321017045,10071,0.6812394142733413,112.57243529723017,1,0.6752374491180462,0.8311029846593108,0.16879598008246782,0.0026012980356535536,0.00010289901653026524,1.173312744399086e-06,-8.712915359746458e-12,-3.106567383626657e-08,9.502281838440849e-12,1093.8292353896652,586.1971543711367,678.4945504496069,195.79149603861543,195.79149603861543,1001.5318393111951,132.2923571724181,136.97079980784227,46.95742752749558,17.651286551316474,15.811388300841896,93.02042786399124,96.84603486946787,nan,nan,0.06816985335573264,0.001264255933918822,nan,-0.019671606152779606,0.0014780455290541745,-0.0028820718886350947,0.10062612672673517,-0.0023446472708655744,0.004852446234023192,-0.00028566719768540746,-0.001400152631756057,-0.003689927544728369,0.00044667312380660583,-0.0003989591234738211,-25.239497524004108,387.9310242291875,0.9882831893555755,9953.0,503225.0,32196179.0,2323208453.0,699425.0,33414308.0,2080068116.0,147687710504.0,59118787.0,2691998830.0,161274410238.0,11092501389394.0,0.6727432578836167,0.08384424839704516,0.1718926880092295,0.062035998601445055,0.017780653125155064,0.01733674352188785,0.03480662063005408,0.01601156507916933,0.016267071291028043,0.03302619369175355,0.0107502442253591,0.011801835680756528,0.0005371369568537199,0.013095918783608782,0.0010531190644256934,0.01700575648101304,0.003357617849637834,0.013386892508391724,0.00868410196764374,0.00307193862965726,0.0004913417947190881,0.0029274192322707327,0.006062734431504158,0.0015779967574827143,0.008176996597579403,0.011789088211195817,0.007361124975798821,0.003775408539236173,0.0041516333556166135,0.002335873059236347,417.56013262332965,123.27278207575606,0,1,1
2,2,15214,22080,192,472,54,312,123.19889575391088,393.0356250821612,15214.0,-1.652438186283689e-10,18234286.14144867,11072192.025499634,6.559730536537245e-10,9242668.198501365,3563677.697822941,21321517689.502407,23347754.691205468,-10300964.739790382,25623445066.673035,20298498166.324135,1.2216753356995367,15397,0.7945471122416271,139.179978565887,1,0.6890398550724638,0.8185480796560369,0.17964658947991669,0.006865991766274555,3.150867745544637e-06,2.4610711668426317e-07,9.061267161264216e-14,3.267397833742668e-09,1.9686902056352653e-13,1996.8973651091721,736.2458472382793,1198.52018807997,-607.510726863505,-607.510726863505,1534.6230242674815,178.74663029480234,178.67568385205638,54.45181356024793,21.113007510668744,19.1049731745428,108.89444430272832,108.53540231561529,nan,nan,0.07877745419218946,0.0003878154255541152,nan,0.03993103239539273,0.0001248216414361318,0.006054633775627193,0.10086913528772722,-0.0003608023609940483,0.007276244506036715,4.673174143077821e-05,-0.0006201774842676633,0.008209576099963483,2.6213738699727924e-05,0.0010451345164604793,37.268666768698196,483.28636328851496,0.9881145677729428,15214.0,1052792.0,91086330.0,8837730578.0,1232876.0,94556326.0,8663966232.0,871007541424.0,123254632.0,10016754256.0,942034866842.0,96058043306566.0,0.6067679384056622,0.00808905701559084,0.19098235168075262,0.09575018799853634,0.003490181948534224,0.006592123621240415,0.009530710395602429,0.02548427378413579,0.029929864776519047,0.0016695114231055858,0.0028831281011364933,0.005477924795523171,0.02304241694497427,0.027431071417595824,0.003250139248286668,0.010897271131724893,0.0023113806630146176,0.0029800797134994124,0.00193927041726575,0.004086485840068906,0.008715202713839416,0.008107836025715937,0.01655459491791817,0.0075414064267952585,0.004023964058245714,0.0010539929179797134,0.0015274498143962455,0.0012817818391194084,0.0022950780640514684,0.0024599195803904745,123.19889575391088,393.0356250821612,0,2,2
3,1,15589,20664,492,175,328,49,408.39386747065237,109.1551735197896,15589.0,7.722178452240769e-11,25524953.65373019,15553284.68972953,4.4721559788740706e-10,-2351704.765411504,-32930906.1488705,-7804469813.71238,14911685.635255614,-2521829.1363741807,16201807115.816751,13726404323.073296,1.1472620156226148,15747,0.6679083509651624,140.88481558662187,1,0.7544037940379403,0.871640467811796,0.16639433633917947,0.002281914224284026,1.613212344158507e-05,3.4264889857900836e-07,5.24891171468367e-13,7.75925396768823e-09,-6.111313912020059e-13,1669.2991325870667,924.622176604402,1637.369533243325,150.85667877423208,150.85667877423208,956.5517759481437,163.42822926714058,165.19685227025363,61.29437168288782,22.627805774823365,20.12461179749811,122.77114082769708,121.630402554914,nan,nan,0.10503364765176246,0.0005125974942130801,nan,-0.00967712353417359,-0.0010853205808817917,-0.002060101574496518,0.061360688687417016,-8.311320225447635e-05,0.0042766990129604,2.9019697936532255e-05,0.0006875868237780915,-0.0011463226776590918,-6.461095997077836e-05,-0.00017922239586238518,-78.04942125443277,474.0731598529185,0.9899663427954531,15589.0,1253260.0,126279372.0,14271739864.0,937759.0,73038368.0,7185301346.0,797173758650.0,71322741.0,5448454742.0,519679038632.0,55884405127244.0,0.7273147408351717,0.016392863573163823,0.1735273266851548,0.07945237578557356,0.004751098778897775,0.004738541450321243,0.05347684719079995,0.0055709773892594055,0.021516327664218998,0.006841332879382974,0.006203708931575691,0.002582554352645032,0.01156830353958901,0.02507944485218772,0.011895814914028321,0.007643192797658597,0.0024698612607527326,0.0038041007208988666,0.0010544322115037092,0.0010176859724838028,0.013730024506066106,0.012883988124253528,0.004253011357695432,0.008816818885905891,0.0032837577471816937,0.004507728358920573,0.003016544031269119,0.0029998050973652963,0.00228771705559662,0.0016364800795639176,408.39386747065237,109.1551735197896,0,1,1
3,2,1,1,347,152,346,151,346.0,151.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,346.0,151.0,0,2,2
3,3,1,1,336,248,335,247,335.0,247.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,1.1283791670955126,1,1.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,nan,nan,0.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,335.0,247.0,0,3,3
3,4,17160,21888,438,407,324,215,380.8451631701632,313.1949300699301,17160.0,-1.5781154161231825e-11,13822739.598543128,2829272.237392709,-4.5338310883380473e-10,3152213.9291958082,19693591.832444027,6353447364.898775,40741088.95891608,-1699754.5448320948,23855884299.931095,8199020187.8757925,1.2433067902748987,17370,0.8201121400710086,147.81336403605525,1,0.7839912280701754,0.8043067148204807,0.18529780238322985,0.008814939853890098,8.6368839178427e-06,7.920532539830582e-07,2.04220403621115e-12,7.113290668749209e-08,3.478684985389013e-13,2395.413421830894,784.2968670653303,805.5209556260565,-183.69545041933614,-183.69545041933614,2374.189333270168,195.77184360702717,191.44189719076647,53.600373133029585,21.95820553362551,20.0,107.8436430204181,112.02120278342527,nan,nan,0.046941780630889066,7.334686049549933e-05,nan,0.010704863078049891,0.0005105422920067633,0.001257354052347682,0.1383560217523408,-4.406492165323783e-05,0.004721105106272286,1.238658146940612e-05,-0.001400034181818411,0.0023481294225790785,0.00013547461855886508,0.00021991309556854553,6.590704622648639,517.7888886054567,0.9879101899827288,17160.0,975463.0,69273093.0,5512181323.0,1685025.0,98937735.0,7180336345.0,581538096165.0,206202001.0,12338949491.0,897509441245.0,72602027912153.0,0.5960265233663324,0.017354791739172516,0.18147531678119144,0.10518835145698094,0.0064375159577624375,0.005545462996621731,0.0006325252371163768,0.031216384133054654,0.029525421659702428,0.00032118580197750923,0.005720231626619154,0.0036030180923799235,0.017185518499491806,0.02266934064776119,0.007917132511404442,0.010081357848388808,0.001275110901692068,0.003034817689086813,0.0051062418108849105,0.0035500242971204126,0.01090741270806475,0.011639705994304611,0.01795541024550179,0.010171301450959356,0.003932309725025459,0.0014724196909587527,0.0017878702421528117,0.0023865054883921637,0.0030151103985944774,0.0031057794583743865,380.8451631701632,313.1949300699301,0,4,4
4,1,8695,11837,438,223,349,90,392.8458884416331,158.28441633122483,8695.0,1.1567635738174431e-10,4103441.4905117885,4033115.11380929,3.3598723803152097e-10,1188933.1178838378,2665630.1623840355,1053649031.9118681,9242533.638412882,-8629042.332496135,3188834062.124176,-1774456654.2850564,1.2288843363689592,8876,0.7718748941445629,105.21795398824405,1,0.7345611219058883,0.8137462333963388,0.17652699913693493,0.005609786624864064,2.567968373138883e-05,2.0036479969397634e-06,1.298401366035049e-11,1.2994270585825182e-07,-6.162715611706112e-12,1093.0723958835354,441.82986161211386,471.9311662463241,-136.7375638739319,-136.7375638739319,1062.9710912493251,132.2465815593604,135.5949851580065,41.012193308819754,16.04262207958345,14.422205101855956,84.94992124287688,84.07899729298525,nan,nan,0.05427615482993952,0.0005720930239351074,nan,0.015725999295449326,0.0003781167601860385,0.0016028290809051015,0.12225084430699541,-0.00122402033722244,0.004850909376985879,-2.8948218556823716e-05,-0.001634555686329973,0.004110446810522017,8.382439405917078e-05,0.0003080713063174676,12.415028363569782,366.43354954612926,0.9796079315006759,8695.0,381240.0,20819248.0,1276709616.0,593733.0,27221684.0,1528555486.0,95440686734.0,49785245.0,2336620464.0,131878407158.0,8228213149938.0,0.6019404919830404,0.022706897165564646,0.19840230234435124,0.08604019277340581,0.00345758519974021,0.004285257456697161,0.014281772831886473,0.0256376389992554,0.025455017973771678,0.0071762106792573385,0.008537801353464445,0.003901152076624944,0.025138288628764282,0.026391782315525303,0.003724034077849627,0.012264985406007376,0.004187873085217784,0.0010261167547640057,0.007727985510246635,0.003336001064634914,0.0047581396979654335,0.008127252998566892,0.01600418773870763,0.003986290522282383,0.0070736056221684775,0.002859802954452958,0.004507769471264627,0.004249853523005228,0.004158857101835056,0.0021974866611964125,392.8458884416331,158.28441633122483,0,1,1
4,2,27925,46104,236,351,32,125,136.7934467323187,226.12157564906,27925.0,-2.403908183623571e-10,80942080.60075201,-577978624.18957,-1.5311343304347247e-09,27357585.248343803,833500926.4273883,155446056499.01193,78613966.25067146,1593671026.5026228,236874957676.7299,7492661533284.82,2.318625796076001,32845,0.7148800599335398,188.56090338861188,1,0.605695818150269,0.4312899484221996,0.20461002298030803,0.004932060053381016,0.0017933991840018192,0.00030027445611366095,2.0189606601696265e-07,1.6394214464660545e-05,8.827669365614024e-08,3837.434650655817,1876.3002410692845,2898.5525729902242,-979.6807609075668,-979.6807609075668,2815.1823187348778,247.78812403037614,257.70137756713683,50.59644256269407,18.644779652508046,17.69180601295413,178.81801633374178,173.26512591144402,nan,nan,0.10379776447592566,-0.004435359457828967,nan,0.03508256977287616,0.006396216161666202,0.007138388224530363,0.10081225850438237,0.012229697715858821,0.010877763300328205,0.0020590172182351645,0.009080306291167739,0.009731742613136115,0.00292490979159742,0.0018537728369113237,46.2182244162652,902.0214280248092,0.8502055107322272,27925.0,2926357.0,387605117.0,57004896781.0,2823820.0,323275416.0,45762532392.0,7083202974036.0,364163094.0,45288461072.0,6725874194556.0,1074556013808764.0,0.535389463736326,0.0929929265914193,0.13457761883696073,0.0641877414236591,0.041956368848048806,0.020422033564685683,0.03268490459280847,0.02212602965787636,0.028711724434979716,0.010216105543537683,0.02636144753148098,0.007506476555724695,0.01736024000611047,0.03174894408068891,0.017344592998672442,0.019073958297142264,0.007648019135882632,0.006798778839928794,0.010526533822994061,0.0017934850135453064,0.012185972775713629,0.008132022543026375,0.004202992057531711,0.005909683972754753,0.012766485789322794,0.005488368070615009,0.012591275329584149,0.009650312471876109,0.0035211702589412765,0.0020669259247094534,136.7934467323187,226.12157564906,0,2,2
