Channel_DNA,Count_FillObjects,Count_IdentifyPrimaryObjects,ExecutionTime_01Images,ExecutionTime_02Metadata,ExecutionTime_03NamesAndTypes,ExecutionTime_04Groups,ExecutionTime_05RescaleIntensity,ExecutionTime_06Resize,ExecutionTime_07IdentifyPrimaryObjects,ExecutionTime_08FillObjects,ExecutionTime_09MeasureObjectSizeShape,FileName_DNA,FileName_OverlayObjects,Frame_DNA,Group_Index,Group_Length,Group_Number,Height_DNA,ImageNumber,ImageSet_ImageSet,MD5Digest_DNA,Metadata_FileLocation,Metadata_Frame,Metadata_Series,ModuleError_01Images,ModuleError_02Metadata,ModuleError_03NamesAndTypes,ModuleError_04Groups,ModuleError_05RescaleIntensity,ModuleError_06Resize,ModuleError_07IdentifyPrimaryObjects,ModuleError_08FillObjects,ModuleError_09MeasureObjectSizeShape,PathName_DNA,PathName_OverlayObjects,Scaling_DNA,Series_DNA,Threshold_FinalThreshold_IdentifyPrimaryObjects,Threshold_OrigThreshold_IdentifyPrimaryObjects,Threshold_SumOfEntropies_IdentifyPrimaryObjects,Threshold_WeightedVariance_IdentifyPrimaryObjects,URL_DNA,URL_OverlayObjects,Width_DNA
-1,2.0,2.0,0.0,0.0,0.390625,0.0,0.421875,0.1875,0.328125,0.03125,0.625,NP_LMNA_K9me2_Pol2_Well2_40X_F00_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F00_C2_max_proj.png,0,1,95,1,2048,1,b'eLtbPbCZG01BdC1LjaCFqUG8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBBapNM',5e795972a7749da28db73f45896bd3d4,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F00_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230724_normal_c2,65535,0,0.03505568206310272,0.035055682,-12.25123641593678,0.1024553892583242,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F00_C2_max_proj.tif,file:///C:/Users/amulya/documents/progeria-prediction/230724_normal_c2/NP_LMNA_K9me2_Pol2_Well2_40X_F00_C2_max_proj.png,2048
-1,2.0,2.0,0.0,0.0,0.28125,0.0,0.4375,0.21875,0.25,0.046875,0.625,NP_LMNA_K9me2_Pol2_Well2_40X_F01_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F01_C2_max_proj.png,0,2,95,1,2048,2,b'eLtbPbCZG01BdC1LjaCFqWG8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBBw5NN',1469279d5212206d5b8b9c7533cbb2a9,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F01_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230724_normal_c2,65535,0,0.11386197805404663,0.11386198,-12.109687805105741,0.08694628943635507,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F01_C2_max_proj.tif,file:///C:/Users/amulya/documents/progeria-prediction/230724_normal_c2/NP_LMNA_K9me2_Pol2_Well2_40X_F01_C2_max_proj.png,2048
-1,4.0,4.0,0.0,0.0,0.28125,0.0,0.4375,0.203125,0.296875,0.046875,0.609375,NP_LMNA_K9me2_Pol2_Well2_40X_F02_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F02_C2_max_proj.png,0,3,95,1,2048,3,b'eLtbPbCZG01BdC1LjaCFqVG8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBCHJNO',1411010e07ab4da429a231eabe86728a,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F02_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230724_normal_c2,65535,0,0.019110027700662613,0.019110028,-11.760059939065094,0.11643859484296115,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F02_C2_max_proj.tif,file:///C:/Users/amulya/documents/progeria-prediction/230724_normal_c2/NP_LMNA_K9me2_Pol2_Well2_40X_F02_C2_max_proj.png,2048
-1,4.0,4.0,0.0,0.0,0.234375,0.0,0.46875,0.203125,0.296875,0.0625,0.640625,NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.png,0,4,95,1,2048,4,b'eLtbPbCZG01BdC1LjaCFqXG8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBCdZNP',c66fd997e3ecaee810c7cd5873714ad2,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230724_normal_c2,65535,0,0.021455014124512672,0.021455014,-12.676699150254201,0.14299391806980566,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.tif,file:///C:/Users/amulya/documents/progeria-prediction/230724_normal_c2/NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.png,2048
-1,6.0,6.0,0.0,0.0,0.203125,0.0,0.4375,0.1875,0.3125,0.078125,0.625,NP_LMNA_K9me2_Pol2_Well2_40X_F04_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F04_C2_max_proj.png,0,5,95,1,2048,5,b'eLtbPbCZG01BdC1LjaCFqUm8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBCzpNQ',26c09470155bbf13ef991a124f0c58c4,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F04_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230724_normal_c2,65535,0,0.02112354338169098,0.021123543,-12.579740900510252,0.13648803443700785,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F04_C2_max_proj.tif,file:///C:/Users/amulya/documents/progeria-prediction/230724_normal_c2/NP_LMNA_K9me2_Pol2_Well2_40X_F04_C2_max_proj.png,2048
-1,6.0,6.0,0.0,0.0,0.234375,0.0,0.40625,0.21875,0.296875,0.0625,0.640625,NP_LMNA_K9me2_Pol2_Well2_40X_F05_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F05_C2_max_proj.png,0,6,95,1,2048,6,b'eLtbPbCZG01BdC1LjaCFqWm8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBDJ5NR',843a5ff7e534c719a3040f9074b8c14d,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F05_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230724_normal_c2,65535,0,0.022891730070114136,0.02289173,-12.39831049239568,0.11450317091646411,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F05_C2_max_proj.tif,file:///C:/Users/amulya/documents/progeria-prediction/230724_normal_c2/NP_LMNA_K9me2_Pol2_Well2_40X_F05_C2_max_proj.png,2048
-1,5.0,5.0,0.0,0.0,0.15625,0.0,0.453125,0.1875,0.28125,0.046875,0.625,NP_LMNA_K9me2_Pol2_Well2_40X_F06_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F06_C2_max_proj.png,0,7,95,1,2048,7,b'eLtbPbCZG01BdC1LjaCFqVm8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBDgJNS',2bf00dde1c1c07e0aec74049f44f6ed4,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F06_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230724_normal_c2,65535,0,0.020903965458273888,0.020903965,-12.503665710862581,0.09091251520796106,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F06_C2_max_proj.tif,file:///C:/Users/amulya/documents/progeria-prediction/230724_normal_c2/NP_LMNA_K9me2_Pol2_Well2_40X_F06_C2_max_proj.png,2048
-1,3.0,3.0,0.0,0.0,0.203125,0.0,0.453125,0.21875,0.296875,0.046875,0.625,NP_LMNA_K9me2_Pol2_Well2_40X_F07_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F07_C2_max_proj.png,0,8,95,1,2048,8,b'eLtbPbCZG01BdC1LjaCFqXm8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBD2ZNT',9d0e6bc32ea5e9b7328b96c820d090b1,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F07_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230724_normal_c2,65535,0,0.09162036329507828,0.09162036,-12.56707901824359,0.13566458116611102,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F07_C2_max_proj.tif,file:///C:/Users/amulya/documents/progeria-prediction/230724_normal_c2/NP_LMNA_K9me2_Pol2_Well2_40X_F07_C2_max_proj.png,2048
-1,4.0,4.0,0.0,0.0,0.203125,0.0,0.46875,0.203125,0.265625,0.0625,0.59375,NP_LMNA_K9me2_Pol2_Well2_40X_F08_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F08_C2_max_proj.png,0,9,95,1,2048,9,b'eLtbPbCZG01BdC1LjaCFqUW8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBEMpNU',6d335133b9f7907398d563cea0a66838,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F08_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230724_normal_c2,65535,0,0.01927078887820244,0.019270789,-12.612887457589157,0.15435789099626618,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F08_C2_max_proj.tif,file:///C:/Users/amulya/documents/progeria-prediction/230724_normal_c2/NP_LMNA_K9me2_Pol2_Well2_40X_F08_C2_max_proj.png,2048
-1,2.0,2.0,0.0,0.0,0.171875,0.0,0.4375,0.21875,0.3125,0.03125,0.640625,NP_LMNA_K9me2_Pol2_Well2_40X_F09_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F09_C2_max_proj.png,0,10,95,1,2048,10,b'eLtbPbCZG01BdC1LjaCFqWW8s1F8bmJFfEFRfpZeSWYauAiF+QQYQCAXYha2IAa8wIUEEZABDl0gDQxzOwBEi5NV',7c0dc1eb48095afae5b94d427da44bbf,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F09_C2_max_proj.tif,0,0,0,0,0,0,0,0,0,0,0,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230724_normal_c2,65535,0,0.02889067307114601,0.028890673,-12.619731075036707,0.08463251825480711,file:////imaging_storage/shared/users/Amulya/converted_v2/normal/c2/NP_LMNA_K9me2_Pol2_Well2_40X_F09_C2_max_proj.tif,file:///C:/Users/amulya/documents/progeria-prediction/230724_normal_c2/NP_LMNA_K9me2_Pol2_Well2_40X_F09_C2_max_proj.png,2048
