ImageNumber,ObjectNumber,FileName_DNA,FileName_OverlayObjects,PathName_DNA,PathName_OverlayObjects,AreaShape_Area,AreaShape_BoundingBoxArea,AreaShape_BoundingBoxMaximum_X,AreaShape_BoundingBoxMaximum_Y,AreaShape_BoundingBoxMinimum_X,AreaShape_BoundingBoxMinimum_Y,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_CentralMoment_0_0,AreaShape_CentralMoment_0_1,AreaShape_CentralMoment_0_2,AreaShape_CentralMoment_0_3,AreaShape_CentralMoment_1_0,AreaShape_CentralMoment_1_1,AreaShape_CentralMoment_1_2,AreaShape_CentralMoment_1_3,AreaShape_CentralMoment_2_0,AreaShape_CentralMoment_2_1,AreaShape_CentralMoment_2_2,AreaShape_CentralMoment_2_3,AreaShape_Compactness,AreaShape_ConvexArea,AreaShape_Eccentricity,AreaShape_EquivalentDiameter,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_HuMoment_0,AreaShape_HuMoment_1,AreaShape_HuMoment_2,AreaShape_HuMoment_3,AreaShape_HuMoment_4,AreaShape_HuMoment_5,AreaShape_HuMoment_6,AreaShape_InertiaTensorEigenvalues_0,AreaShape_InertiaTensorEigenvalues_1,AreaShape_InertiaTensor_0_0,AreaShape_InertiaTensor_0_1,AreaShape_InertiaTensor_1_0,AreaShape_InertiaTensor_1_1,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_NormalizedMoment_0_0,AreaShape_NormalizedMoment_0_1,AreaShape_NormalizedMoment_0_2,AreaShape_NormalizedMoment_0_3,AreaShape_NormalizedMoment_1_0,AreaShape_NormalizedMoment_1_1,AreaShape_NormalizedMoment_1_2,AreaShape_NormalizedMoment_1_3,AreaShape_NormalizedMoment_2_0,AreaShape_NormalizedMoment_2_1,AreaShape_NormalizedMoment_2_2,AreaShape_NormalizedMoment_2_3,AreaShape_NormalizedMoment_3_0,AreaShape_NormalizedMoment_3_1,AreaShape_NormalizedMoment_3_2,AreaShape_NormalizedMoment_3_3,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,AreaShape_SpatialMoment_0_0,AreaShape_SpatialMoment_0_1,AreaShape_SpatialMoment_0_2,AreaShape_SpatialMoment_0_3,AreaShape_SpatialMoment_1_0,AreaShape_SpatialMoment_1_1,AreaShape_SpatialMoment_1_2,AreaShape_SpatialMoment_1_3,AreaShape_SpatialMoment_2_0,AreaShape_SpatialMoment_2_1,AreaShape_SpatialMoment_2_2,AreaShape_SpatialMoment_2_3,AreaShape_Zernike_0_0,AreaShape_Zernike_1_1,AreaShape_Zernike_2_0,AreaShape_Zernike_2_2,AreaShape_Zernike_3_1,AreaShape_Zernike_3_3,AreaShape_Zernike_4_0,AreaShape_Zernike_4_2,AreaShape_Zernike_4_4,AreaShape_Zernike_5_1,AreaShape_Zernike_5_3,AreaShape_Zernike_5_5,AreaShape_Zernike_6_0,AreaShape_Zernike_6_2,AreaShape_Zernike_6_4,AreaShape_Zernike_6_6,AreaShape_Zernike_7_1,AreaShape_Zernike_7_3,AreaShape_Zernike_7_5,AreaShape_Zernike_7_7,AreaShape_Zernike_8_0,AreaShape_Zernike_8_2,AreaShape_Zernike_8_4,AreaShape_Zernike_8_6,AreaShape_Zernike_8_8,AreaShape_Zernike_9_1,AreaShape_Zernike_9_3,AreaShape_Zernike_9_5,AreaShape_Zernike_9_7,AreaShape_Zernike_9_9,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_IdentifyPrimaryObjects
1,1,NP_LMNA_K9me2_Pol2_Well2_40X_F00_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_normal_c2,19935,26880,382,280,254,70,318.98916478555304,176.26280411336845,19935.0,8.390088623855263e-11,19885385.65959367,-43860040.720694765,-3.338982423883863e-10,-8938650.234311515,-19590229.146638088,-18485551007.409054,54878934.16925007,153187393.03767818,43475928911.356384,216759454637.86176,1.2681228887946376,20227,0.8300811030565973,159.31738864384977,1,0.7416294642857143,0.7885671087843144,0.18813166827515168,0.009777402362703544,8.06115577393337e-05,6.803061721097884e-06,8.640937805039209e-11,2.3441992214604726e-07,1.3384515539960282e-10,2860.796261120903,889.6085459442457,997.511194361358,448.38977849568676,448.38977849568676,2752.893612703791,213.9456477190748,213.78961621182634,58.034472514187634,23.374754006436234,21.37755832643195,118.34531641774912,119.30522509558385,nan,nan,0.05003818381546817,-0.0007816789745674803,nan,-0.02249258984177009,-0.0003491394439964727,-0.0023333703785432887,0.1380934844596835,0.0027301243304559577,0.0054878236878496715,0.000193785469580138,-0.0013848220366064004,-0.006147511274989476,-0.00023189356338014155,-0.000500454574238063,-13.530657954440132,563.6295090390225,0.9855638502991052,19935.0,1295559.0,104082683.0,9305055807.0,2118349.0,128731082.0,9878696700.0,853216691072.0,279980639.0,16449203200.0,1219370070586.0,101957467228582.0,0.5553325673717995,0.03005857518360576,0.1875361856102954,0.09506119369217599,0.01958024691538539,0.004868311240598533,0.0031198286759671523,0.0383348002996932,0.030445103952087268,0.004045094158708022,0.00663020205562236,0.0028666241735485288,0.014389356885263039,0.01775870306796542,0.0013181031753741928,0.013090328002353626,0.010583756169503925,0.0098068054524193,0.004877142110919777,0.002399657391724933,0.008721870371478025,0.010129045856714309,0.017599151905589718,0.0046134568272059836,0.006642956209129169,0.006026816250749533,0.005600707478872198,0.00450572482297687,0.0025639249965469747,0.0018822441400550035,318.98916478555304,176.26280411336845,0,1,1
1,2,NP_LMNA_K9me2_Pol2_Well2_40X_F00_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F00_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_normal_c2,13082,19370,199,459,69,310,130.90009172909342,387.1838403913775,13082.0,-1.3088197192701045e-10,13699018.419889927,37099121.77637897,-4.6415493670792785e-10,5968235.27939154,24269688.220556967,11905292596.187037,16382086.863858735,-25115188.273724917,15185095296.903835,17345329441.84952,1.28485205269416,13488,0.7604231927712826,129.06013995120801,1,0.6753742901393908,0.7782997255622826,0.1757703024813289,0.005110482801036318,7.595997461591371e-05,2.9185771747055953e-06,-1.06838112321179e-11,-1.0220614392500286e-07,4.212214564722874e-11,1617.314207638468,682.112889422277,1047.1654502285528,-456.21734286741633,-456.21734286741633,1252.2616468321921,160.86338092373754,162.1141573089778,51.92301994298868,19.149436444139752,17.26267650163207,107.054660940963,104.469164018654,nan,nan,0.08004628116714209,0.0018953013282852543,nan,0.03487366938292435,0.001239877660683003,0.005317624162404006,0.09572402131418682,-0.0012830721433851452,0.006782582536869779,6.773654578261241e-05,-0.0028347922665043126,0.007074465944918107,-6.105871794739172e-05,0.0008596316168440719,38.66583344414633,459.58787847868,0.9698991696322657,13082.0,809777.0,63824289.0,5683769459.0,1009719.0,68469934.0,5689342046.0,523711388386.0,94316077.0,6734361268.0,572872998248.0,53417927553220.0,0.6336354373652431,0.04233641252767734,0.18465057391960585,0.08785628706880137,0.02064959827317144,0.002557695034925011,0.01976330447057635,0.01575134107537916,0.03032535105699779,0.015605303659393333,0.007151476452526384,0.001179498426224277,0.018549301511893025,0.023518764576648872,0.007554968028472719,0.0129502817838192,0.014271442537170954,0.006026092388844085,0.006638401806329722,0.0024709779141736114,7.085423072496338e-05,0.002385386405527891,0.010232396938727004,0.006246557976421325,0.00613568907082414,0.007794089437854296,0.0029752807094625285,0.0032883201532000676,0.0033659278463780604,0.002341151136248701,130.90009172909342,387.1838403913775,0,2,2
2,1,NP_LMNA_K9me2_Pol2_Well2_40X_F01_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F01_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_normal_c2,3,4,454,17,452,15,452.3333333333333,15.333333333333334,3.0,1.1102230246251565e-16,0.6666666666666667,0.22222222222222232,1.1102230246251565e-16,-0.33333333333333337,-0.11111111111111113,-0.11111111111111113,0.6666666666666667,-0.11111111111111109,0.11111111111111112,0.01234567901234569,0.309207662451413,3,0.816496580927726,1.9544100476116797,1,0.75,3.2340725067158833,0.14814814814814817,0.005486968449931414,0.0025402631712645434,0.00010161052685058188,-5.162349583426408e-08,-7.526705692635696e-06,1.9852334701272664e-23,0.33333333333333337,0.1111111111111111,0.22222222222222224,0.11111111111111112,0.11111111111111112,0.22222222222222224,2.3094010767585034,1.4142135623730951,1.0,1.0,1.0,0.7071067811865476,1.3333333333333333,nan,nan,0.07407407407407408,0.014255562202212987,nan,-0.03703703703703704,-0.007127781101106492,-0.004115226337448561,0.07407407407407408,-0.007127781101106489,0.00411522633744856,0.000263991892633574,0.014255562202212987,-0.004115226337448561,0.0002639918926335739,-0.0002540263171264543,45.0,3.414213562373095,1.0,3.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.9098593171027436,0.6366197723675812,1.9098593171027427,0.636619772367581,0.6366197723675805,0.636619772367581,1.9098593171027403,0.6366197723675805,1.9098593171027427,0.6366197723675804,0.6366197723675804,0.6366197723675808,1.9098593171027394,0.6366197723675794,1.9098593171027394,0.6366197723675807,0.6366197723675805,0.6366197723675799,0.6366197723675797,0.6366197723675807,1.9098593171027367,0.6366197723675799,1.9098593171027358,0.6366197723675796,1.9098593171027418,0.6366197723675726,0.6366197723675787,0.6366197723675785,0.6366197723675796,0.6366197723675805,452.3333333333333,15.333333333333334,0,1,1
2,2,NP_LMNA_K9me2_Pol2_Well2_40X_F01_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F01_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_normal_c2,15214,22080,192,472,54,312,123.19889575391088,393.0356250821612,15214.0,-1.652438186283689e-10,18234286.14144867,11072192.025499634,6.559730536537245e-10,9242668.198501365,3563677.697822941,21321517689.502407,23347754.691205468,-10300964.739790382,25623445066.673035,20298498166.324135,1.2216753356995367,15397,0.7945471122416271,139.179978565887,1,0.6890398550724638,0.8185480796560369,0.17964658947991669,0.006865991766274555,3.150867745544637e-06,2.4610711668426317e-07,9.061267161264216e-14,3.267397833742668e-09,1.9686902056352653e-13,1996.8973651091721,736.2458472382793,1198.52018807997,-607.510726863505,-607.510726863505,1534.6230242674815,178.74663029480234,178.67568385205638,54.45181356024793,21.113007510668744,19.1049731745428,108.89444430272832,108.53540231561529,nan,nan,0.07877745419218946,0.0003878154255541152,nan,0.03993103239539273,0.0001248216414361318,0.006054633775627193,0.10086913528772722,-0.0003608023609940483,0.007276244506036715,4.673174143077821e-05,-0.0006201774842676633,0.008209576099963483,2.6213738699727924e-05,0.0010451345164604793,37.268666768698196,483.28636328851496,0.9881145677729428,15214.0,1052792.0,91086330.0,8837730578.0,1232876.0,94556326.0,8663966232.0,871007541424.0,123254632.0,10016754256.0,942034866842.0,96058043306566.0,0.6067679384056622,0.00808905701559084,0.19098235168075262,0.09575018799853634,0.003490181948534224,0.006592123621240415,0.009530710395602429,0.02548427378413579,0.029929864776519047,0.0016695114231055858,0.0028831281011364933,0.005477924795523171,0.02304241694497427,0.027431071417595824,0.003250139248286668,0.010897271131724893,0.0023113806630146176,0.0029800797134994124,0.00193927041726575,0.004086485840068906,0.008715202713839416,0.008107836025715937,0.01655459491791817,0.0075414064267952585,0.004023964058245714,0.0010539929179797134,0.0015274498143962455,0.0012817818391194084,0.0022950780640514684,0.0024599195803904745,123.19889575391088,393.0356250821612,0,2,2
3,1,NP_LMNA_K9me2_Pol2_Well2_40X_F02_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F02_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_normal_c2,15590,20664,492,175,328,49,408.38986529826815,109.1578576010263,15590.0,-1.9878143575624563e-10,25528846.39871711,15616898.227659157,-1.0879830369958654e-10,-2354315.458499037,-32855370.712154504,-7815069339.781809,14913436.512443865,-2558755.6512678037,16208779076.521204,13537652174.623177,1.1443551407872679,15747,0.6679631906329335,140.88933423939935,1,0.7544521873790166,0.8738545966700882,0.16639621091940637,0.0022829304430640966,1.6064769641932766e-05,3.425432757841064e-07,5.264645320009809e-13,7.826966096919568e-09,-6.070587385376567e-13,1669.5037307731257,924.6131974604201,1637.5142013288719,151.01446173823203,151.01446173823203,956.6027269046739,163.43824427706636,165.19685227025363,61.29437168288782,22.638457458944657,20.223748416156685,122.77114082769708,121.62981196798226,nan,nan,0.10503618995053698,0.000514611505899914,nan,-0.009686623588084158,-0.0010826574875884359,-0.0020625025307577,0.06136002096886939,-8.43166856653206e-05,0.004277716090840314,2.861422240084695e-05,0.0006859338514594735,-0.0011472810437257288,-6.434297109201473e-05,-0.00017948569338861032,-78.03978590394067,473.48737341529164,0.9900298469549755,15590.0,1253278.0,126279696.0,14271745696.0,937861.0,73040204.0,7185334394.0,797174353514.0,71333145.0,5448642014.0,519682409528.0,55884465803372.0,0.7273613964731751,0.01643427863898846,0.17349310410967578,0.07948127844452829,0.004765183496202579,0.004703204955239482,0.05346252088944653,0.00558052942689804,0.021511088221783298,0.006838177290796879,0.006212971157538656,0.002568885127070108,0.011563002733006113,0.02508145536935159,0.011896272728289838,0.007618253199475234,0.0024814235725321844,0.003800745990610423,0.0010536719398395555,0.0010426628998541042,0.013712475399980256,0.0128957505179328,0.004249855418995035,0.008818288536978903,0.0032574701698548604,0.004500471997917581,0.0030348946936561037,0.003000688823079511,0.002286139140842041,0.0016602925034913492,408.38986529826815,109.1578576010263,0,1,1
3,2,NP_LMNA_K9me2_Pol2_Well2_40X_F02_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F02_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_normal_c2,17161,21888,438,407,324,215,380.8424916962881,313.19107278130645,17161.0,-7.214850938908057e-11,13824841.255055066,2843713.9438743745,-7.478320185327902e-10,3155248.469727875,19624649.450518023,6359993424.401221,40745470.47235013,-1767445.5802968272,23865235135.410835,8017138223.633741,1.240422932916107,17370,0.8201152833145761,147.81767088951216,1,0.7840369152046783,0.8061766462581457,0.1852982219557376,0.008815183390537955,8.577816336174746e-06,7.86564872975137e-07,2.0148350501074385e-12,7.06988536966057e-08,3.3868608990298634e-13,2395.567743268496,784.3350437139165,805.5964835997356,-183.8615739017467,-183.8615739017467,2374.306303382677,195.77814968043788,191.44189719076647,53.600373133029585,21.96498143756983,20.0,107.8436430204181,112.023929137585,nan,nan,0.04694344639588228,7.371051223329659e-05,nan,0.010713919579380381,0.0005086808982712746,0.0012584295065692175,0.13835477555985534,-4.58130886718719e-05,0.0047221300513279885,1.210933521759042e-05,-0.0013951269523173014,0.002350317299177948,0.00013503918490595854,0.00022019338439110124,6.596288340446852,517.2031021678298,0.9879677605066206,17161.0,975474.0,69273214.0,5512182654.0,1685057.0,98938087.0,7180340217.0,581538138757.0,206203025.0,12338960755.0,897509565149.0,72602029275097.0,0.5960612629200637,0.01732786789582192,0.18146409277170353,0.10520076121520458,0.006437865190192272,0.005534339606320255,0.0006444554627160566,0.03122157544578382,0.029517181166574095,0.00030966409324212,0.005724712603931498,0.0035928853985271996,0.017171611594803272,0.022677593172567425,0.007922655889066424,0.010071685028036502,0.001268637278723954,0.003023000681286375,0.005090713825445561,0.0035455118727829864,0.010906328112032649,0.01163897268452968,0.017952343481145515,0.010188132072918684,0.003933003850423335,0.001478408701991412,0.0017905604909592705,0.0023834128259676984,0.0029990165536205177,0.0031069185461199966,380.8424916962881,313.19107278130645,0,2,2
4,1,NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_normal_c2,8695,11837,438,223,349,90,392.8458884416331,158.28441633122483,8695.0,1.1567635738174431e-10,4103441.4905117885,4033115.11380929,3.3598723803152097e-10,1188933.1178838378,2665630.1623840355,1053649031.9118681,9242533.638412882,-8629042.332496135,3188834062.124176,-1774456654.2850564,1.2288843363689592,8876,0.7718748941445629,105.21795398824405,1,0.7345611219058883,0.8137462333963388,0.17652699913693493,0.005609786624864064,2.567968373138883e-05,2.0036479969397634e-06,1.298401366035049e-11,1.2994270585825182e-07,-6.162715611706112e-12,1093.0723958835354,441.82986161211386,471.9311662463241,-136.7375638739319,-136.7375638739319,1062.9710912493251,132.2465815593604,135.5949851580065,41.012193308819754,16.04262207958345,14.422205101855956,84.94992124287688,84.07899729298525,nan,nan,0.05427615482993952,0.0005720930239351074,nan,0.015725999295449326,0.0003781167601860385,0.0016028290809051015,0.12225084430699541,-0.00122402033722244,0.004850909376985879,-2.8948218556823716e-05,-0.001634555686329973,0.004110446810522017,8.382439405917078e-05,0.0003080713063174676,12.415028363569782,366.43354954612926,0.9796079315006759,8695.0,381240.0,20819248.0,1276709616.0,593733.0,27221684.0,1528555486.0,95440686734.0,49785245.0,2336620464.0,131878407158.0,8228213149938.0,0.6019404919830404,0.022706897165564646,0.19840230234435124,0.08604019277340581,0.00345758519974021,0.004285257456697161,0.014281772831886473,0.0256376389992554,0.025455017973771678,0.0071762106792573385,0.008537801353464445,0.003901152076624944,0.025138288628764282,0.026391782315525303,0.003724034077849627,0.012264985406007376,0.004187873085217784,0.0010261167547640057,0.007727985510246635,0.003336001064634914,0.0047581396979654335,0.008127252998566892,0.01600418773870763,0.003986290522282383,0.0070736056221684775,0.002859802954452958,0.004507769471264627,0.004249853523005228,0.004158857101835056,0.0021974866611964125,392.8458884416331,158.28441633122483,0,1,1
4,2,NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_normal_c2,8719,13455,221,240,104,125,164.52058722330543,182.13889207477922,8719.0,-2.764863893389702e-10,7141514.054593417,-7775112.034820343,-3.3287506084889174e-10,3616669.56887258,-5932585.835442966,5930014474.482575,7035190.801697441,-344725.48719001154,5804670991.060495,-1686420674.3237846,1.3710832681958072,9146,0.8220366165186503,105.3630655901103,1,0.6480118914901524,0.7293503051174189,0.18648415739299662,0.009055340161256557,1.2641876939042878e-05,1.3154136248572213e-06,2.7930588663406206e-13,-1.632828540609061e-08,-5.3568533085113565e-12,1227.8257470767917,398.1296212327459,819.074900171283,-414.8032536842046,-414.8032536842046,806.8804681382545,140.1613782510313,139.46325680981354,39.698866482558415,15.178956578002218,13.92838827718412,83.43860018001261,79.81274296579421,nan,nan,0.09394138091194897,-0.0010953173361227923,nan,0.04757463627528439,-0.0008357518302625138,0.008946552616246117,0.09254277648104765,-4.8563133319701405e-05,0.00875744817571487,-2.724786920242705e-05,0.0009191250662872812,0.00872485284930738,0.00010767548020842564,0.0014155413292487196,45.42106659556814,387.58787847867995,0.9533129236824841,8719.0,527679.0,39076957.0,3221602521.0,498194.0,33767663.0,2664647375.0,228672459419.0,35501444.0,2561528497.0,208460507917.0,18222054937597.0,0.5707648118532587,0.01932679013096247,0.18774362154266647,0.09737167938032136,0.014596968122484389,0.00980844862174659,0.004874770850678417,0.030930097121249965,0.03288006227261004,0.0023850294453384695,0.0033845979623426527,0.0010700450022335358,0.0189820896796186,0.022901208308714657,0.005667429371918397,0.011331843465958483,0.007940837808177944,0.004508770556986143,0.006439397192942342,0.0033888330258455657,0.014083373650806674,0.010530944837583218,0.013470948415904295,0.00636226725081496,0.004332393348770304,0.0012741527112549885,0.004424549757168699,0.0035157777949310024,0.005923246457732345,0.0034127538363971257,164.52058722330543,182.13889207477922,0,2,2
4,3,NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_normal_c2,12026,15606,134,295,32,142,83.59787127889572,219.75694328953932,12026.0,-8.469669410260394e-12,7954787.305504741,-773834.6450322507,3.4503955248510465e-11,2901147.5777482116,9857891.636286497,3731180438.511732,17873118.545235332,12962727.770623382,8866901467.216537,18765610313.328213,1.2630249782398948,12413,0.7847433827500284,123.74158058221605,1,0.7706010508778675,0.7917499790016531,0.17858574736402572,0.0063127772680138285,1.4453935431248847e-05,7.330403995891928e-07,-2.0749763265978153e-12,-5.4010581598747746e-08,1.1780699958229841e-12,1551.5869144530016,596.0852833467721,661.4657662984154,-241.23961231899315,-241.23961231899315,1486.2064315013583,157.56075219180704,157.56268593801008,49.03060268852505,18.60131118093152,16.97056274847714,101.0,97.65943135994779,nan,nan,0.05500297408102571,-4.879161243742965e-05,nan,0.020059838044153764,0.0006215571133388895,0.0021452734272554095,0.123582773283,0.0008173224003040124,0.005098099224410326,9.838717600329978e-05,-0.0009989174553070967,0.005074098096521004,0.00022275506729248706,0.00045688444040658106,15.163970664594938,436.88939366884495,0.9688230081366309,12026.0,620516.0,39972092.0,2882601206.0,935105.0,51150575.0,3417351661.0,252570904127.0,90584025.0,5138074325.0,347557609099.0,25799754797597.0,0.6166693098322564,0.06264278321282134,0.1772992533506038,0.08864344134900017,0.026689228572039377,0.022081319992414774,0.011021476010531628,0.016651696027410096,0.027513796815206073,0.020468440929647735,0.0031446982912426103,0.006252385082839487,0.010960613872728078,0.020612684586514017,0.0023890319902430106,0.00847969203564768,0.0158589969001315,0.014263233114373006,0.007927285203104237,0.0013681257568293132,0.0064941531572532815,0.0015734333211378565,0.006209203376020491,0.005095625227451201,0.0032934168560560754,0.0058186170495835516,0.0013248092363084664,0.01048614579871936,0.007837116453723977,0.002708965421367804,83.59787127889572,219.75694328953932,0,3,3
4,4,NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.tif,NP_LMNA_K9me2_Pol2_Well2_40X_F03_C2_max_proj.png,\\imaging_storage\shared\users\Amulya\converted_v2\normal\c2,C:\\Users\\amulya\\documents\\progeria-prediction\\230725_normal_c2,7176,10248,236,351,152,229,192.2002508361204,290.1578874024526,7176.0,4.547473508864641e-13,3046597.2395484946,100260.44210387726,-1.4779288903810084e-11,1893518.1158026766,-6154316.930019084,1817436289.3216982,6867342.113573027,-8744409.135926584,2922041840.4089313,-13987159090.553322,1.4038947962390513,7483,0.8387549747097597,95.58643718132572,1,0.7002341920374707,0.7123040862313466,0.19252245797961962,0.010913519455991262,4.885616239204983e-05,8.420985858473843e-06,1.6873425535903297e-10,6.599937581381866e-07,-2.6524887999626392e-11,1065.6010150487937,315.9401434129566,424.55368444098303,-263.8681878208858,-263.8681878208858,956.9874740207673,130.57417907373838,132.59336333316233,34.132096331752024,13.520772867034783,12.165525060596439,68.84709127183935,71.09882062740074,nan,nan,0.05916299950403889,2.2983890305038853e-05,nan,0.03677092918351252,-0.0014108270645310866,0.0049182647760742295,0.13335945847558073,-0.002004584621263543,0.007907498899596658,-0.0004468286477396754,-0.0007091362374009459,0.009699904516567577,-0.0008225316829127336,0.0011772691501998468,22.37306743726117,355.8061325481597,0.9589736736602966,7176.0,288477.0,14643445.0,833718369.0,438869.0,19536162.0,1041647650.0,61243792782.0,33707643.0,1577918430.0,85956274614.0,5114898554250.0,0.5196955220419504,0.04278594983127703,0.18594289978269024,0.08810354926802237,0.023316049457991275,0.014277611089769942,0.013259514304123213,0.0422512234177213,0.028126230067320315,0.00572230763742791,0.007217264775494013,0.0012538825094143384,0.010643535646222432,0.011161565857966219,0.0021895736064534745,0.01465670160412054,0.012171032697315768,0.005815546500251655,0.012223627423930431,0.0036771465089509023,0.009257171342587257,0.011873175911856031,0.014372625367737368,0.001864100105581756,0.007966644773048466,0.004945182055813731,0.008214518819047131,0.008999337618852313,0.011510184266185304,0.0024516184797324326,192.2002508361204,290.1578874024526,0,4,4
